pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,command_rpy.time,command_rpy.cmd_r,command_rpy.cmd_p,command_rpy.cmd_y,command_rpy.cmd_thrust,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust,motor.time,motor.m1,motor.m2,motor.m3,motor.m4
1718613840679394873,-0.07972229272127151,-0.24608495831489563,0.020568817853927612,1718613840694474800,0.9856832027435303,-0.00919248815625906,0.0022026747465133667,0.168336883187294,1718613840674885196,0.012270179577171803,-0.00516752153635025,0.0003530530957505107,1718613840677422194,0.09545109421014786,0.02493261732161045,0.154327392578125,1718613840673691507,0.0,0.0,0.0,0.0,1718613840668797981,-0.0015094190603122115,0.0015196963213384151,0.004633280448615551,0.0,1718613840671038776,5.989562034606934,2.5577666759490967,-3507.112548828125,0.0,1718613840676290226,0.0,0.0,0.0,0.0
1718613840693176670,-0.0797213613986969,-0.2460867464542389,0.020566560328006744,1718613840708191984,0.98568195104599,-0.009181569330394268,0.0021992293186485767,0.168345108628273,1718613840689358428,0.012541232630610466,-0.005149813834577799,0.0004223500727675855,1718613840691938838,0.09680438786745071,-0.1219073235988617,0.10685718804597855,1718613840687614370,0.0,0.0,0.0,0.0,1718613840682513804,0.0016231589252129197,-0.0006969186943024397,0.0010032975114881992,0.0,1718613840685143102,5.987523555755615,2.557203769683838,-3507.415771484375,0.0,1718613840690738456,0.0,0.0,0.0,0.0
1718613840706773139,-0.07959626615047455,-0.24613714218139648,0.020570067688822746,1718613840721769796,0.985682487487793,-0.009185811504721642,0.0021976749412715435,0.16834136843681335,1718613840703033672,0.012770584784448147,-0.00508908461779356,0.000304849207168445,1718613840705462720,-0.046126510947942734,0.06128125265240669,-0.09949551522731781,1718613840701678436,0.0,0.0,0.0,0.0,1718613840695796369,0.0022919701877981424,0.00026234687538817525,-0.0008281751070171595,0.0,1718613840699327402,5.98131799697876,2.559283494949341,-3507.720947265625,0.0,1718613840704197645,0.0,0.0,0.0,0.0
1718613840720281192,-0.07959349453449249,-0.24613504111766815,0.02056601643562317,1718613840734564771,0.9857096672058105,-0.009173343889415264,0.002193207386881113,0.16818305850028992,1718613840716370545,0.012894969433546066,-0.0049853879027068615,0.00019526106189005077,1718613840718536878,0.12430776655673981,0.010378929786384106,0.015176016837358475,1718613840715105222,0.0,0.0,0.0,0.0,1718613840710059486,-0.0036959403660148382,-0.0010203775018453598,0.0015922349411994219,0.0,1718613840712710136,5.974287033081055,2.5557310581207275,-3507.89501953125,0.0,1718613840717414134,0.0,0.0,0.0,0.0
1718613840733075498,-0.07959053665399551,-0.24613167345523834,0.020569711923599243,1718613840747318043,0.9856804609298706,-0.009184534661471844,0.00221436470746994,0.16835328936576843,1718613840728575230,0.013033456169068813,-0.00494382856413722,0.00015668070409446955,1718613840731795292,-0.05592043325304985,0.43747615814208984,-0.04415515065193176,1718613840727554364,0.0,0.0,0.0,0.0,1718613840722980921,0.0035502139944583178,0.0037886810023337603,0.0032306991051882505,0.0,1718613840725116129,5.977356433868408,2.555145263671875,-3507.81640625,0.0,1718613840730518713,0.0,0.0,0.0,0.0
1718613840746216987,-0.07958702743053436,-0.24613063037395477,0.0205707885324955,1718613840759758404,0.9856792688369751,-0.009182180278003216,0.002215516986325383,0.1683603972196579,1718613840742389395,0.013201105408370495,-0.004897408653050661,0.00011305818770779297,1718613840744646017,-0.03405269980430603,-0.11352542042732239,0.0013285184977576137,1718613840741234078,0.0,0.0,0.0,0.0,1718613840735985396,-0.0017503462731838226,-0.005249634385108948,0.0019745230674743652,0.0,1718613840738614839,5.973501682281494,2.5522215366363525,-3507.979736328125,0.0,1718613840743687191,0.0,0.0,0.0,0.0
1718613840758317907,-0.07958584278821945,-0.2461322396993637,0.020573293790221214,1718613840774612244,0.9856791496276855,-0.009187021292746067,0.0022314165253192186,0.16836054623126984,1718613840754965461,0.013137507252395153,-0.004961310885846615,0.00015187110693659633,1718613840756920193,-0.07349857687950134,0.13680045306682587,-0.1780797690153122,1718613840753487554,0.0,0.0,0.0,0.0,1718613840748391728,-0.0027864044532179832,-0.001512586371973157,0.0002147978520952165,0.0,1718613840751411100,5.974525451660156,2.566391706466675,-3508.064697265625,0.0,1718613840756222808,0.0,0.0,0.0,0.0
1718613840773465141,-0.07958709448575974,-0.2461310625076294,0.020574305206537247,1718613840786037970,0.9857072234153748,-0.009174617938697338,0.0022343802265822887,0.1681966483592987,1718613840768879483,0.01306831557303667,-0.004993012174963951,0.00028771214419975877,1718613840772132224,-0.04313850402832031,0.15030992031097412,0.03582734614610672,1718613840768048744,0.0,0.0,0.0,0.0,1718613840762156468,0.0011826424160972238,-0.0009867437183856964,0.0004449293774086982,0.0,1718613840764838720,5.972776889801025,2.566944122314453,-3508.21484375,0.0,1718613840770282969,0.0,0.0,0.0,0.0
1718613840784827504,-0.07958008348941803,-0.24612969160079956,0.02057933434844017,1718613840800010701,0.98570716381073,-0.009171523153781891,0.002217150991782546,0.16819757223129272,1718613840781128626,0.01308733131736517,-0.004945447202771902,0.00043431425001472235,1718613840783726382,0.011619176715612411,-0.23513266444206238,0.107575923204422,1718613840779947089,0.0,0.0,0.0,0.0,1718613840775712790,0.0004113042668905109,0.002272328594699502,0.0003676906053442508,0.0,1718613840777769769,5.974218845367432,2.57829213142395,-3508.21484375,0.0,1718613840782666089,0.0,0.0,0.0,0.0
1718613840798582311,-0.07957717776298523,-0.24613043665885925,0.020583340898156166,1718613840812897871,0.9857099652290344,-0.009170738980174065,0.002224778290838003,0.1681809276342392,1718613840794485700,0.01312333345413208,-0.004939836449921131,0.00027461472200229764,1718613840797014772,0.05779244378209114,0.13719643652439117,-0.20337221026420593,1718613840793295639,0.0,0.0,0.0,0.0,1718613840787309028,-0.002069449983537197,0.0016774365212768316,-0.0008310681441798806,0.0,1718613840789689962,5.96954345703125,2.5798730850219727,-3508.261962890625,0.0,1718613840795851174,0.0,0.0,0.0,0.0
1718613840811653615,-0.07957246154546738,-0.24612392485141754,0.020588327199220657,1718613840826718263,0.9857099056243896,-0.00917604099959135,0.002216016873717308,0.16818152368068695,1718613840807906848,0.013191206380724907,-0.004925888497382402,0.0003508081135805696,1718613840810298778,-0.1256858855485916,-0.1779254823923111,-0.02518182061612606,1718613840806872987,0.0,0.0,0.0,0.0,1718613840801500187,1.6175057680811733e-05,-0.003934574779123068,-0.0022123060189187527,0.0,1718613840804142427,5.970266819000244,2.568347692489624,-3508.257080078125,0.0,1718613840808899447,0.0,0.0,0.0,0.0
1718613840825519559,-0.07957355678081512,-0.24612151086330414,0.020590800791978836,1718613840840007153,0.9857088327407837,-0.009176524356007576,0.0022217987570911646,0.16818749904632568,1718613840820730902,0.013252920471131802,-0.005030553787946701,0.0003521272155921906,1718613840823098499,0.0869283452630043,0.02137909270823002,0.07375269383192062,1718613840819528980,0.0,0.0,0.0,0.0,1718613840814597637,-0.0009575505391694605,0.001472600968554616,0.0020573576912283897,0.0,1718613840817156972,5.96859073638916,2.57218861579895,-3507.927978515625,0.0,1718613840822041643,0.0,0.0,0.0,0.0
1718613840838776572,-0.07956890761852264,-0.24612785875797272,0.020585564896464348,1718613840859575669,0.9857073426246643,-0.00916210375726223,0.0022015285212546587,0.16819730401039124,1718613840833767444,0.013395463116466999,-0.005168624222278595,0.0003272203903179616,1718613840837497512,0.4250461459159851,0.014303512871265411,0.10082127153873444,1718613840832606199,0.0,0.0,0.0,0.0,1718613840827899722,-0.0023722853511571884,-0.0035507376305758953,0.0013419365277513862,0.0,1718613840830607465,5.972248077392578,2.567115068435669,-3507.945068359375,0.0,1718613840835956797,0.0,0.0,0.0,0.0
1718613840848479290,-0.07956656813621521,-0.2461305409669876,0.020585712045431137,1718613840869615566,0.9857068061828613,-0.009161833673715591,0.0021907142363488674,0.16820043325424194,1718613840882390577,0.01364126056432724,-0.005510438233613968,-6.533069245051593e-05,1718613840847410839,-0.0794505774974823,-0.1716766506433487,0.005495504941791296,1718613840846103608,0.0,0.0,0.0,0.0,1718613840841162150,0.0008212121319957078,0.0024918378330767155,0.00012602114293258637,0.0,1718613840843422572,5.9726481437683105,2.5709993839263916,-3508.062744140625,0.0,1718613840854155586,0.0,0.0,0.0,0.0
1718613840857879867,-0.07956566661596298,-0.2461315542459488,0.020587146282196045,1718613840877159064,0.9857075810432434,-0.009151002392172813,0.0021740850061178207,0.168196901679039,1718613840949809857,0.013151179067790508,-0.005172037053853273,-0.00020684217452071607,1718613840855626520,-0.04275612533092499,0.02050909586250782,-0.04066605865955353,1718613840865009695,0.0,0.0,0.0,0.0,1718613840849722402,0.00021187076345086098,0.004245303571224213,0.0021709459833800793,0.0,1718613840851872752,5.956142902374268,2.5686912536621094,-3504.7265625,0.0,1718613840867148114,0.0,0.0,0.0,0.0
1718613840884454570,-0.0795687809586525,-0.2461373209953308,0.02058662474155426,1718613840885378208,0.9857080578804016,-0.009151930920779705,0.0021553514525294304,0.16819404065608978,1718613840968905682,0.012599368579685688,-0.005018708296120167,-0.0001680533605394885,1718613840868414745,0.17835047841072083,-0.23701000213623047,-0.046645939350128174,1718613840873529109,0.0,0.0,0.0,0.0,1718613840861173439,0.0003763967542909086,0.0017706513172015548,0.00301972683519125,0.0,1718613840862649555,5.961198329925537,2.5541417598724365,-3504.785888671875,0.0,1718613840874727605,0.0,0.0,0.0,0.0
1718613840894273820,-0.07956423610448837,-0.24613109230995178,0.020587505772709846,1718613840895988104,0.9857074618339539,-0.00915159285068512,0.002175013069063425,0.16819754242897034,1718613841030791372,0.012440245598554611,-0.005574050359427929,-0.00027421684353612363,1718613840875688421,-0.03799685090780258,-0.17217212915420532,0.03379415348172188,1718613840901199196,0.0,0.0,0.0,0.0,1718613840870750432,-0.0018765624845400453,0.0028774470556527376,-0.004327543079853058,0.0,1718613840872582637,5.967319488525391,2.5476877689361572,-3508.336181640625,0.0,1718613840891945353,0.0,0.0,0.0,0.0
1718613840903182919,-0.07956242561340332,-0.2461317628622055,0.020579691976308823,1718613840904188777,0.9857072234153748,-0.009148571640253067,0.002173322718590498,0.16819904744625092,1718613841064362585,0.012344609014689922,-0.005657941568642855,5.028866507927887e-05,1718613840883398434,0.08992575109004974,0.3224281668663025,0.11988695710897446,1718613840910125484,0.0,0.0,0.0,0.0,1718613840878241914,-0.0014388313284143806,0.0026744240894913673,0.0001723009190754965,0.0,1718613840880417192,5.956842422485352,2.5342366695404053,-3504.782958984375,0.0,1718613840911562378,0.0,0.0,0.0,0.0
