pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,motor.time,motor.m1,motor.m2,motor.m3,motor.m4,bat.time,bat
1719307502530675897,-0.0037367050535976887,0.008087210357189178,0.016150088980793953,1719307502532534827,0.9996348023414612,-0.004805942066013813,-0.0017992646899074316,-0.026495007798075676,1719307502533545844,-0.0030923369340598583,-0.024129563942551613,0.00042818437214009464,1719307502529832895,-0.21211034059524536,0.23125386238098145,-0.10758998990058899,1719307502528523449,0.0,0.0,0.0,0.0,1719307502537020708,3.7161290645599365
1719307502541074169,-0.003733745776116848,0.008086447604000568,0.01615256816148758,1719307502542595508,0.9996352791786194,-0.004811377730220556,-0.0017871622694656253,-0.026474496349692345,1719307502543375574,-0.00288626691326499,-0.023884383961558342,0.00040992992580868304,1719307502539752830,0.19871769845485687,-0.0485602505505085,-0.02371424250304699,1719307502538858928,0.0,0.0,0.0,0.0,1719307502547517349,3.7161290645599365
1719307502550083142,-0.003762325504794717,0.007846168242394924,0.016157161444425583,1719307502551934711,0.9996358156204224,-0.0048059383407235146,-0.0017952281050384045,-0.02645469829440117,1719307502552730848,-0.002768250647932291,-0.023564720526337624,0.00048157793935388327,1719307502549139573,-0.06544290482997894,0.047650065273046494,-0.0006635628524236381,1719307502548316899,0.0,0.0,0.0,0.0,1719307502558368773,3.7161290645599365
1719307502562372616,-0.003761598840355873,0.007845786400139332,0.016154982149600983,1719307502563263234,0.9996363520622253,-0.004801393952220678,-0.0017963070422410965,-0.02643696963787079,1719307502564567333,-0.0026808870024979115,-0.023482998833060265,0.0005180311854928732,1719307502560361208,0.16154906153678894,-0.4202374517917633,0.011809377931058407,1719307502559076409,0.0,0.0,0.0,0.0,1719307502566711231,3.7161290645599365
1719307502571751306,-0.0037592952139675617,0.007847248576581478,0.016154320910573006,1719307502573170392,0.9996371865272522,-0.004787855315953493,-0.0018067806959152222,-0.02640598826110363,1719307502574759891,-0.0025103306397795677,-0.02340232953429222,0.0005745561793446541,1719307502570393091,0.047937024384737015,-0.13924460113048553,-0.1708061248064041,1719307502569110719,0.0,0.0,0.0,0.0,1719307502577174986,3.7161290645599365
1719307502581287874,-0.003757200203835964,0.007847040891647339,0.01615273952484131,1719307502583095070,0.9996376037597656,-0.004780138842761517,-0.0018044557655230165,-0.02639256976544857,1719307502583375730,-0.0024257951881736517,-0.023410195484757423,0.0005927468300797045,1719307502579947779,0.15042155981063843,0.05379503592848778,0.08878590911626816,1719307502579110131,0.0,0.0,0.0,0.0,1719307502587517220,3.7161290645599365
1719307502592504479,-0.003753190627321601,0.00784537848085165,0.016151804476976395,1719307502593465823,0.9996384382247925,-0.004771217238157988,-0.001792981754988432,-0.026363208889961243,1719307502594426360,-0.00248715584166348,-0.02405186928808689,0.0005375340115278959,1719307502590822259,-0.11784851551055908,0.13129961490631104,0.20229698717594147,1719307502590025704,0.0,0.0,0.0,0.0,1719307502597629150,3.7161290645599365
1719307502602206399,-0.0037519962061196566,0.007846028544008732,0.016153937205672264,1719307502603176600,0.9996392130851746,-0.004781803581863642,-0.0017845018301159143,-0.026332560926675797,1719307502604767013,-0.0026229184586554766,-0.024159744381904602,0.0005499125109054148,1719307502601400045,-0.029963748529553413,-0.09158873558044434,-0.0027300636284053326,1719307502600294941,0.0,0.0,0.0,0.0,1719307502606895894,3.7161290645599365
1719307502611836110,-0.00375473708845675,0.007848319597542286,0.016157139092683792,1719307502612934687,0.9996398091316223,-0.004782046657055616,-0.0017890500603243709,-0.02630973793566227,1719307502613843442,-0.0027121577877551317,-0.024381421506404877,0.0007631854969076812,1719307502610596343,0.1921149045228958,-0.005024866666644812,0.03418215736746788,1719307502608464902,0.0,0.0,0.0,0.0,1719307502617172492,3.7161290645599365
1719307502620659695,-0.0037532132118940353,0.0078485868871212,0.016156164929270744,1719307502621627400,0.9996392130851746,-0.004771237727254629,-0.0017984352307394147,-0.026334142312407494,1719307502622627980,-0.0027121577877551317,-0.024381421506404877,0.0007631854969076812,1719307502619412680,0.0473838672041893,0.029830163344740868,-0.06758023053407669,1719307502618583294,0.0,0.0,0.0,0.0,1719307502626375471,3.7161290645599365
1719307502631403448,-0.003754468634724617,0.00784205924719572,0.01615992933511734,1719307502632590817,0.9996397495269775,-0.004771096631884575,-0.0017953560454770923,-0.026314374059438705,1719307502633697731,-0.002679543336853385,-0.024461712688207626,0.0009972029365599155,1719307502629292410,-0.0107817891985178,0.2490198016166687,0.18372632563114166,1719307502628319408,0.0,0.0,0.0,0.0,1719307502636693008,3.7161290645599365
1719307502640718597,-0.0037410822696983814,0.007973718456923962,0.016154929995536804,1719307502642669114,0.9996389746665955,-0.004835531115531921,-0.001778259756974876,-0.026332518085837364,1719307502644040757,-0.0025639983359724283,-0.023531612008810043,0.0010569741716608405,1719307502639282833,0.07689756900072098,0.1972605288028717,0.20750319957733154,1719307502637607964,0.0,0.0,0.0,0.0,1719307502646268210,3.7161290645599365
1719307502650492465,-0.003734111785888672,0.008035901002585888,0.01615583337843418,1719307502652574523,0.9996398687362671,-0.004835040774196386,-0.0017760873306542635,-0.026298433542251587,1719307502653599163,-0.002568925963714719,-0.023077867925167084,0.0011153529630973935,1719307502649293429,-0.03519135341048241,0.3018450438976288,0.1338064819574356,1719307502647552230,0.0,0.0,0.0,0.0,1719307502656545300,3.7161290645599365
1719307502660709965,-0.0037304216530174017,0.008058920502662659,0.016157731413841248,1719307502661922412,0.9996393322944641,-0.004850881639868021,-0.0017657033167779446,-0.0263174157589674,1719307502663776620,-0.0024698209017515182,-0.022979149594902992,0.0011012438917532563,1719307502658689434,-0.18373586237430573,0.05065276846289635,0.11346647888422012,1719307502657687084,0.0,0.0,0.0,0.0,1719307502667163202,3.7161290645599365
1719307502671388691,-0.0037309916224330664,0.008075925521552563,0.016155045479536057,1719307502673594987,0.9996386766433716,-0.0048654209822416306,-0.001761732273735106,-0.02633899264037609,1719307502674886234,-0.0024453874211758375,-0.023042339831590652,0.0009889969369396567,1719307502670347157,-0.10413704067468643,0.00981798954308033,-0.14767047762870789,1719307502668088955,0.0,0.0,0.0,0.0,1719307502677077862,3.7161290645599365
1719307502681917755,-0.003725311951711774,0.008083317428827286,0.016156716272234917,1719307502684305117,0.9996393918991089,-0.004864893853664398,-0.0017470791935920715,-0.02631409838795662,1719307502685409240,-0.002413082867860794,-0.02305091731250286,0.0009033416863530874,1719307502680647303,-0.01426680851727724,0.016014132648706436,0.051266323775053024,1719307502678204010,0.0,0.0,0.0,0.0,1719307502686578661,3.7161290645599365
1719307502691004604,-0.003726104274392128,0.00808414351195097,0.016159644350409508,1719307502692130562,0.9996399879455566,-0.004867080133408308,-0.0017484209965914488,-0.026289233937859535,1719307502694315479,-0.0024162151385098696,-0.023044412955641747,0.000899533974006772,1719307502688801301,-0.08911661803722382,0.07202040404081345,0.23956455290317535,1719307502687778710,0.0,0.0,0.0,0.0,1719307502696311450,3.7161290645599365
1719307502701348517,-0.0037247897125780582,0.00808639358729124,0.01616515964269638,1719307502702549449,0.9996393918991089,-0.004870417062193155,-0.0017519103130325675,-0.026311272755265236,1719307502703828696,-0.0023768306709825993,-0.023034047335386276,0.0008860559901222587,1719307502699141878,0.03002837300300598,-0.16167837381362915,0.032354045659303665,1719307502697271599,0.0,0.0,0.0,0.0,1719307502706779002,3.7161290645599365
1719307502711214360,-0.0037243119440972805,0.008085069246590137,0.01616458036005497,1719307502712266993,0.9996402263641357,-0.00485964585095644,-0.001757002784870565,-0.02628251165151596,1719307502713176509,-0.002310314914211631,-0.023211907595396042,0.0008928534807637334,1719307502709557689,-0.13091126084327698,-0.03793368488550186,0.14492495357990265,1719307502708670142,0.0,0.0,0.0,0.0,1719307502716563375,3.7161290645599365
1719307502719568668,-0.0037235573399811983,0.00808703899383545,0.016165651381015778,1719307502720668256,0.9996408820152283,-0.0048689888790249825,-0.0017592167714610696,-0.02625340409576893,1719307502722390366,-0.0023805927485227585,-0.02336587943136692,0.000801375019364059,1719307502718570391,0.09317179024219513,-0.07520098239183426,-0.03593658655881882,1719307502717567439,0.0,0.0,0.0,0.0,1719307502727964364,3.7161290645599365
1719307502733681873,-0.003723986679688096,0.008083843626081944,0.01616264507174492,1719307502734676172,0.9996402263641357,-0.0048642270267009735,-0.0017622077139094472,-0.02628169022500515,1719307502735434608,-0.0024013593792915344,-0.02354494296014309,0.0007321101729758084,1719307502731592552,-0.07394314557313919,0.03643802925944328,0.20839324593544006,1719307502730083057,0.0,0.0,0.0,0.0,1719307502736350627,3.7161290645599365
1719307502741477645,-0.003727447474375367,0.008082239888608456,0.01616046577692032,1719307502742843392,0.9996395111083984,-0.0048664640635252,-0.001769553404301405,-0.026304904371500015,1719307502743913527,-0.0024527902714908123,-0.02375137060880661,0.0005956616951152682,1719307502740322043,0.08686631917953491,0.2794245183467865,0.07259847223758698,1719307502739306952,0.0,0.0,0.0,0.0,1719307502747864719,3.7161290645599365
1719307502751415838,-0.003727111266925931,0.008079828694462776,0.016153497621417046,1719307502752610508,0.9996404051780701,-0.0048584346659481525,-0.001756023382768035,-0.026274416595697403,1719307502754055159,-0.0024989438243210316,-0.023956844583153725,0.0005499440594576299,1719307502750183621,-0.0885123610496521,0.08610687404870987,-0.029019096866250038,1719307502748963277,0.0,0.0,0.0,0.0,1719307502756808715,3.7161290645599365
1719307502760343942,-0.003752714255824685,0.00783595535904169,0.016159165650606155,1719307502762269388,0.9996411204338074,-0.004856185056269169,-0.0017542502610012889,-0.026247624307870865,1719307502763925158,-0.002570007462054491,-0.024205083027482033,0.0005620111478492618,1719307502759451315,0.09910934418439865,-0.19037291407585144,0.01778484880924225,1719307502757804290,0.0,0.0,0.0,0.0,1719307502767644706,3.7161290645599365
1719307502771398103,-0.0037531396374106407,0.007831978611648083,0.016158316284418106,1719307502772443402,0.9996418356895447,-0.0048517188988626,-0.0017614556709304452,-0.026222124695777893,1719307502773528465,-0.002590447897091508,-0.02427998185157776,0.0004531357262749225,1719307502770400665,-0.02180645242333412,-0.17017503082752228,-0.07279147952795029,1719307502768792497,0.0,0.0,0.0,0.0,1719307502778287367,3.7161290645599365
