time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,command_rpy.time,command_rpy.cmd_r,command_rpy.cmd_p,command_rpy.cmd_y,command_rpy.cmd_thrust,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust,motor.time,motor.m1,motor.m2,motor.m3,motor.m4
1718613776696848706,0.019555924460291862,-0.004003376234322786,0.020035933703184128,1718613776687403299,0.9999682307243347,-0.007167804520577192,0.002841641427949071,-0.0014600801514461637,1718613776693741376,0.02049276791512966,-0.01655586063861847,0.0004640777187887579,1718613776695614281,0.014974642544984818,-0.12324345111846924,0.21901150047779083,1718613776692846475,0.0,0.0,0.0,0.0,1718613776688995356,-0.001980141969397664,0.002029943047091365,-0.00025227406877093017,0.0,1718613776690905934,4.936103820800781,1.9484678506851196,30.7060604095459,0.0,1718613776682668809,0.0,0.0,0.0,0.0
1718613776706929297,0.019546961411833763,-0.004001506604254246,0.020039062947034836,1718613776697781762,0.9999682307243347,-0.0071663884446024895,0.0028328977059572935,-0.0014582972507923841,1718613776703440258,0.020522894337773323,-0.016680074855685234,0.0005564800230786204,1718613776705234674,0.009467173367738724,0.34021860361099243,-0.060786809772253036,1718613776702527287,0.0,0.0,0.0,0.0,1718613776698808052,0.0015992693370208144,0.004281957168132067,0.005080678500235081,0.0,1718613776700612971,4.935117244720459,1.942460298538208,30.667701721191406,0.0,1718613776694692290,0.0,0.0,0.0,0.0
1718613776717162397,0.0195456650108099,-0.004001392517238855,0.020046383142471313,1718613776707845711,0.9999683499336243,-0.007160634733736515,0.0028125718235969543,-0.0014438290381804109,1718613776713737581,0.02061440609395504,-0.0167937520891428,0.0006587178213521838,1718613776716019718,-0.07240746915340424,0.11171432584524155,0.1497906595468521,1718613776712542014,0.0,0.0,0.0,0.0,1718613776708697421,-0.0005724901566281915,-0.006927888374775648,0.0020100839901715517,0.0,1718613776710863651,4.931107997894287,1.92854905128479,30.364248275756836,0.0,1718613776704364196,0.0,0.0,0.0,0.0
1718613776728549448,0.019541554152965546,-0.0040023913607001305,0.02004874125123024,1718613776718433291,0.9999683499336243,-0.007159508764743805,0.002829706994816661,-0.0014427340356633067,1718613776724652706,0.020746497437357903,-0.016881216317415237,0.0008505907608196139,1718613776727615917,0.09981191903352737,0.0364888533949852,0.1026570126414299,1718613776723384291,0.0,0.0,0.0,0.0,1718613776719484997,0.0006830995553173125,0.006128848530352116,0.0008203199249692261,0.0,1718613776721435670,4.930347442626953,1.9403482675552368,30.34402084350586,0.0,1718613776714978614,0.0,0.0,0.0,0.0
1718613776739354323,0.019546957686543465,-0.0040015424601733685,0.020051931962370872,1718613776729685003,0.9999683499336243,-0.00715957535430789,0.0028269856702536345,-0.0014374878956004977,1718613776734479939,0.020921818912029266,-0.016894368454813957,0.0007721136789768934,1718613776737258516,0.006967945024371147,0.24871276319026947,-0.011474918574094772,1718613776733382085,0.0,0.0,0.0,0.0,1718613776730642217,0.0008929011528380215,-0.001240838086232543,-0.0024812619667500257,0.0,1718613776731447372,4.930380821228027,1.938501238822937,30.23480987548828,0.0,1718613776725985060,0.0,0.0,0.0,0.0
1718613776751956581,0.019571052864193916,-0.00401902012526989,0.02004888467490673,1718613776741063532,0.999968409538269,-0.007149599026888609,0.002829624805599451,-0.0014331756392493844,1718613776757504918,0.02101440727710724,-0.016952957957983017,0.0006819060654379427,1718613776750610356,-0.24047783017158508,0.49817538261413574,0.15240603685379028,1718613776746822016,0.0,0.0,0.0,0.0,1718613776742574812,0.003967657219618559,-0.0026443221140652895,-0.0018185063963755965,0.0,1718613776744497036,4.9235100746154785,1.940348744392395,30.145174026489258,0.0,1718613776735636309,0.0,0.0,0.0,0.0
1718613776761414191,0.019581304863095284,-0.004030493553727865,0.020048119127750397,1718613776753085540,0.9999684691429138,-0.007137832697480917,0.0028438065201044083,-0.0014310190454125404,1718613776768262445,0.02103125862777233,-0.017103498801589012,0.0006582190981134772,1718613776760806759,0.030081365257501602,-0.06567730009555817,0.13287799060344696,1718613776756672648,0.0,0.0,0.0,0.0,1718613776753926107,-0.0028224950656294823,-0.0060484581626951694,0.0005364717799238861,0.0,1718613776765260838,4.917572498321533,1.9665627479553223,29.93726348876953,0.0,1718613776747988134,0.0,0.0,0.0,0.0
1718613776770755917,0.01958443410694599,-0.004041568376123905,0.020053522661328316,1718613776762527642,0.9999683499336243,-0.007140945177525282,0.002867628587409854,-0.0014229039661586285,1718613776776793382,0.021014682948589325,-0.01730376109480858,0.0007495672907680273,1718613776769545582,-0.09058553725481033,0.04813278838992119,-0.2876625657081604,1718613776767270027,0.0,0.0,0.0,0.0,1718613776763769931,0.0014758588513359427,0.0022950933780521154,0.0016761653823778033,0.0,1718613776773737728,4.910729885101318,1.9565339088439941,29.72895622253418,0.0,1718613776758808271,0.0,0.0,0.0,0.0
1718613776786557575,0.019574979320168495,-0.00403780909255147,0.020056189969182014,1718613776779895335,0.9999685287475586,-0.007124045398086309,0.0028547607362270355,-0.0014152517542243004,1718613776812552066,0.021011129021644592,-0.017038382589817047,0.0005698341992683709,1718613776778769145,-0.10371249169111252,0.31336238980293274,-0.026469852775335312,1718613776775826488,0.0,0.0,0.0,0.0,1718613776771826442,-0.0009359572432003915,-0.0007331453380174935,-0.003299679607152939,0.0,1718613776782992883,4.905912399291992,1.957761287689209,29.77564239501953,0.0,1718613776777722878,0.0,0.0,0.0,0.0
1718613776793231975,0.019574979320168495,-0.00403780909255147,0.020056189969182014,1718613776787388990,0.9999685883522034,-0.007118308916687965,0.0028560252394527197,-0.0014178722631186247,1718613776821214974,0.0198901928961277,-0.016343574970960617,0.0004956785123795271,1718613776785730964,0.01888156868517399,-0.33113163709640503,0.08568012714385986,1718613776797942049,0.0,0.0,0.0,0.0,1718613776781004871,-0.002698455471545458,-0.003244818886741996,-0.0012372309574857354,0.0,1718613776790371751,4.901970863342285,1.9586246013641357,29.82984161376953,0.0,1718613776784847042,0.0,0.0,0.0,0.0
