pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,command_rpy.time,command_rpy.cmd_r,command_rpy.cmd_p,command_rpy.cmd_y,command_rpy.cmd_thrust,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust,motor.time,motor.m1,motor.m2,motor.m3,motor.m4
1715751666351853446,-0.6694261431694031,-0.01895267702639103,0.02605830878019333,1715751666362783492,0.9991466999053955,0.0006864159950055182,-0.0014397120103240013,0.041247427463531494,1715751666357164804,0.011058663949370384,0.003287337487563491,0.0014657932333648205,1715751666360434104,-0.03574756160378456,-0.03692247346043587,0.012516316026449203,1715751666358118330,0.0,0.0,0.0,0.0,1715751666355012932,-0.0020280927419662476,0.002097963821142912,-0.0034091193228960037,0.0,1715751666356198448,-0.4326637089252472,-1.0009419918060303,-0.0,0.0,1715751666359394452,0.0,0.0,0.0,0.0
1715751666361426952,-0.669422447681427,-0.018951229751110077,0.02606230229139328,1715751666371453175,0.999146580696106,0.0006755537469871342,-0.0014313544379547238,0.041250839829444885,1715751666366886008,0.01118782814592123,0.0032951815519481897,0.0013648082967847586,1715751666369707420,-0.033702872693538666,-0.19818393886089325,0.08561792224645615,1715751666367953331,0.0,0.0,0.0,0.0,1715751666364728260,-0.003114249324426055,-0.0038146418519318104,-0.001229035435244441,0.0,1715751666366052911,-0.43114590644836426,-1.009504795074463,-0.0,0.0,1715751666368737613,0.0,0.0,0.0,0.0
1715751666370692980,-0.6694230437278748,-0.018955359235405922,0.026068178936839104,1715751666381460679,0.9991483688354492,0.0006632216973230243,-0.0014064880087971687,0.04120781645178795,1715751666375647876,0.0111875394359231,0.00327388197183609,0.0012004432501271367,1715751666378945330,-0.022712457925081253,0.2665523290634155,0.07846371829509735,1715751666376740474,0.0,0.0,0.0,0.0,1715751666372462076,-0.0012553505366668105,-0.0037835584953427315,-0.0009758217493072152,0.0,1715751666374541000,-0.4239102602005005,-1.0034507513046265,-0.0,0.0,1715751666377841513,0.0,0.0,0.0,0.0
1715751666380247044,-0.6694263219833374,-0.018958723172545433,0.026065681129693985,1715751666392010016,0.9991480112075806,0.0006690270383842289,-0.0014009454753249884,0.04121638089418411,1715751666386437934,0.01119689829647541,0.003333668690174818,0.0012609930709004402,1715751666389773107,0.04841716215014458,-0.02679932676255703,-0.012498411349952221,1715751666387510530,0.0,0.0,0.0,0.0,1715751666382775939,0.000595440564211458,3.136200029985048e-05,0.001188902766443789,0.0,1715751666385015193,-0.41617849469184875,-0.9859833717346191,-0.0,0.0,1715751666388571095,0.0,0.0,0.0,0.0
1715751666390798218,-0.6694284677505493,-0.018958501517772675,0.02605685405433178,1715751666403247396,0.9991474747657776,0.0006798666436225176,-0.0014125184388831258,0.041230201721191406,1715751666397383778,0.011276483535766602,0.003368058940395713,0.0013415912399068475,1715751666400724404,-0.02056409977376461,0.2127934992313385,0.022091826424002647,1715751666398841380,0.0,0.0,0.0,0.0,1715751666393521760,0.0010159093653783202,-0.003106501651927829,0.002890670672059059,0.0,1715751666396250226,-0.4203193485736847,-0.9823402166366577,-0.0,0.0,1715751666399751503,0.0,0.0,0.0,0.0
1715751666401889684,-0.6694891452789307,-0.0189800001680851,0.02604108676314354,1715751666413180444,0.9991472959518433,0.0006856312393210828,-0.001425673603080213,0.041233211755752563,1715751666407609024,0.010864512994885445,0.003187725553289056,0.0012990324757993221,1715751666411066039,-0.08412925153970718,0.04887227714061737,0.03466140106320381,1715751666408654424,0.0,0.0,0.0,0.0,1715751666404369781,0.002849946729838848,-0.0006278696819208562,-0.0021618567407131195,0.0,1715751666406448300,-0.42743128538131714,-0.9906118512153625,-0.0,0.0,1715751666410097477,0.0,0.0,0.0,0.0
1715751666412089730,-0.6695147156715393,-0.0189837496727705,0.0260405745357275,1715751666422552853,0.9991465210914612,0.00068494095467031,-0.0014331211568787694,0.0412527471780777,1715751666417331802,0.010898304171860218,0.003281723242253065,0.0013380044838413596,1715751666420639860,0.0198801402002573,-0.24628125131130219,0.01276913471519947,1715751666418375373,0.0,0.0,0.0,0.0,1715751666414251808,-0.00018829916371032596,-0.002360351849347353,0.002478581154718995,0.0,1715751666416808831,-0.4310190677642822,-0.9998228549957275,-0.0,0.0,1715751666419680856,0.0,0.0,0.0,0.0
1715751666421567997,-0.6695263385772705,-0.01898943819105625,0.026041360571980476,1715751666433063003,0.9991462826728821,0.000689332140609622,-0.001443783869035542,0.041257672011852264,1715751666427018478,0.010844866745173931,0.003337954403832555,0.001342316623777151,1715751666430645673,0.0033140145242214203,-0.03508306294679642,0.08248953521251678,1715751666428437068,0.0,0.0,0.0,0.0,1715751666423617288,-9.410094207851216e-05,0.0030637909658253193,-0.002286543371155858,0.0,1715751666424953669,-0.4303133487701416,-1.0049331188201904,-0.0,0.0,1715751666429520109,0.0,0.0,0.0,0.0
1715751666432054505,-0.6695296764373779,-0.018995778635144234,0.026047222316265106,1715751666443610237,0.9991457462310791,0.000688159023411572,-0.0014496741350740194,0.04127046838402748,1715751666437809317,0.010997704230248928,0.003366614691913128,0.0012418325059115887,1715751666441317809,-0.11893844604492188,0.19069363176822662,0.22342342138290405,1715751666438973044,0.0,0.0,0.0,0.0,1715751666434362045,-0.0012178272008895874,0.003263913094997406,0.004241350572556257,0.0,1715751666435793952,-0.4330252707004547,-1.0123920440673828,-0.0,0.0,1715751666440410477,0.0,0.0,0.0,0.0
1715751666442574850,-0.6695284247398376,-0.018993638455867767,0.026049474254250526,1715751666452646268,0.9991449117660522,0.0006797509267926216,-0.0014377133920788765,0.04129048436880112,1715751666447969826,0.011093761771917343,0.003457259852439165,0.0010938270715996623,1715751666450909291,-0.10993634164333344,0.2501154839992523,0.21467450261116028,1715751666448437947,0.0,0.0,0.0,0.0,1715751666444644049,-0.0017663222970440984,-0.003280848730355501,0.003730758558958769,0.0,1715751666445531426,-0.432038277387619,-1.016414761543274,-0.0,0.0,1715751666449633618,0.0,0.0,0.0,0.0
1715751666451862981,-0.6695290803909302,-0.018993359059095383,0.026048097759485245,1715751666462827406,0.9991464614868164,0.0006761836702935398,-0.0014281425392255187,0.0412537045776844,1715751666456187475,0.011198247782886028,0.0034048189409077168,0.0009762493427842855,1715751666460521100,0.017019063234329224,-0.03278204798698425,0.1511567234992981,1715751666457990918,0.0,0.0,0.0,0.0,1715751666453701610,-2.7840796974487603e-05,-0.0035814016591757536,0.003374921390786767,0.0,1715751666454895225,-0.4265759587287903,-1.0079596042633057,-0.0,0.0,1715751666459354959,0.0,0.0,0.0,0.0
1715751666461580973,-0.6695321798324585,-0.018992368131875992,0.02604541927576065,1715751666473972310,0.9991459250450134,0.0006744631100445986,-0.0014344507362693548,0.04126608371734619,1715751666466123847,0.01137346401810646,0.003225421765819192,0.000768945727031678,1715751666471126851,-0.060116469860076904,-0.03553416579961777,-0.045316003262996674,1715751666468731411,0.0,0.0,0.0,0.0,1715751666463930862,0.0007119043730199337,-0.000155189773067832,0.0020445636473596096,0.0,1715751666464929557,-0.42443177103996277,-1.0012613534927368,-0.0,0.0,1715751666469850531,0.0,0.0,0.0,0.0
