pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,motor.time,motor.m1,motor.m2,motor.m3,motor.m4,bat.time,bat
1719470058711197220,-0.705101490020752,-0.002347141969949007,0.022161195054650307,1719470058713243314,0.9998154640197754,-0.0033573945984244347,-2.7563650291995145e-05,-0.018860863521695137,1719470058714211034,-0.0040764217264950275,-0.02518840692937374,-0.000984575366601348,1719470058710488421,0.1194387897849083,-0.06303278356790543,0.05171829089522362,1719470058709546577,0.0,0.0,0.0,0.0,1719470058716836878,3.763636350631714
1719470058719836033,-0.7051191329956055,-0.002461936790496111,0.022159447893500328,1719470058721815904,0.9998158812522888,-0.00334410578943789,-3.907957216142677e-05,-0.01884106919169426,1719470058722903187,-0.004162653349339962,-0.025805914774537086,-0.0010670050978660583,1719470058718958534,-0.002811115700751543,-0.08730701357126236,0.16738787293434143,1719470058717940294,0.0,0.0,0.0,0.0,1719470058728076353,3.763636350631714
1719470058731344176,-0.7051087617874146,-0.0023823129013180733,0.022160470485687256,1719470058732541305,0.999816358089447,-0.00333635276183486,-4.225415250402875e-05,-0.018819890916347504,1719470058733453257,-0.004022129345685244,-0.025321541354060173,-0.0009880006546154618,1719470058730564872,0.11261982470750809,0.04963367432355881,0.1660475879907608,1719470058729741112,0.0,0.0,0.0,0.0,1719470058738041237,3.763636350631714
1719470058741736943,-0.7051103115081787,-0.0023454995825886726,0.022154180333018303,1719470058742693175,0.9998167157173157,-0.0033220669720321894,-4.531874947133474e-05,-0.01880221627652645,1719470058743769209,-0.003928717691451311,-0.025213316082954407,-0.0009702985407784581,1719470058740850316,-0.0008304783841595054,0.09085775166749954,-0.03374674171209335,1719470058739795906,0.0,0.0,0.0,0.0,1719470058747963774,3.763636350631714
1719470058751933317,-0.7051498889923096,-0.0026002535596489906,0.022144146263599396,1719470058753005491,0.9998170733451843,-0.0033187458757311106,-2.940362537628971e-05,-0.018782204017043114,1719470058753958047,-0.0038498954381793737,-0.024952227249741554,-0.0009829935152083635,1719470058750225309,0.005572715774178505,-0.16433514654636383,0.012055314145982265,1719470058749077587,0.0,0.0,0.0,0.0,1719470058757503364,3.763636350631714
1719470058760677244,-0.7051435112953186,-0.0025817868299782276,0.022145453840494156,1719470058762562357,0.9998175501823425,-0.003312663407996297,-4.0217146306531504e-05,-0.018759872764348984,1719470058763484856,-0.003757992060855031,-0.0247790589928627,-0.0009617747273296118,1719470058759832621,0.10001270473003387,-0.15806050598621368,-0.06694714725017548,1719470058758758899,0.0,0.0,0.0,0.0,1719470058767365304,3.763636350631714
1719470058770470599,-0.7051388621330261,-0.0025749821215867996,0.02214888297021389,1719470058771613052,0.9998177289962769,-0.003306239377707243,-6.002737063681707e-05,-0.01874915510416031,1719470058772763128,-0.003782735439017415,-0.024715442210435867,-0.0009212149307131767,1719470058769356705,-0.03934214264154434,-0.1558825969696045,-0.02452586032450199,1719470058768400161,0.0,0.0,0.0,0.0,1719470058779339152,3.763636350631714
1719470058782951872,-0.7051337957382202,-0.0025748484767973423,0.022152747958898544,1719470058784105357,0.9998182654380798,-0.003308912506327033,-7.162634574342519e-05,-0.018721777945756912,1719470058786282783,-0.0038496870547533035,-0.02546706050634384,-0.0008428961737081409,1719470058781712417,-0.01678430661559105,-0.23677822947502136,0.0208527110517025,1719470058780543971,0.0,0.0,0.0,0.0,1719470058789837314,3.7583577632904053
1719470058793894437,-0.7051344513893127,-0.002573358127847314,0.02215307392179966,1719470058795173499,0.9998188018798828,-0.0033032367937266827,-7.689691847190261e-05,-0.01869155466556549,1719470058797556273,-0.0036160375457257032,-0.0248981062322855,-0.0007022669888101518,1719470058792548742,0.14612793922424316,-0.14100874960422516,0.07294076681137085,1719470058791229137,0.0,0.0,0.0,0.0,1719470058798945308,3.7583577632904053
1719470058803278347,-0.7051357626914978,-0.0025705413427203894,0.022149106487631798,1719470058804714140,0.9998193979263306,-0.003295335453003645,-7.720752182649449e-05,-0.018661746755242348,1719470058806725584,-0.0037778038531541824,-0.025739124044775963,-0.0008300041081383824,1719470058802092355,0.19901143014431,-0.001402733731083572,-0.09601166844367981,1719470058801101075,0.0,0.0,0.0,0.0,1719470058808220023,3.763636350631714
