time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,command_rpy.time,command_rpy.cmd_r,command_rpy.cmd_p,command_rpy.cmd_y,command_rpy.cmd_thrust,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust,motor.time,motor.m1,motor.m2,motor.m3,motor.m4
1715751586022161333,-0.27338117361068726,0.012104115448892117,0.020604955032467842,1715751586023242516,0.9997788071632385,-0.00019145553233101964,-0.002669550711289048,-0.02081269770860672,1715751586025786308,0.005548165179789066,0.004057763144373894,0.0003500115708447993,1715751586029423455,-0.04782341420650482,0.14891380071640015,0.18564440310001373,1715751586019552858,0.0,0.0,0.0,0.0,1715751586024170116,0.0024764572735875845,-0.001775488955900073,-0.0006892564124427736,0.0,1715751586025077215,0.09350032359361649,-1.8396281003952026,-0.0,0.0,1715751586020431106,0.0,0.0,0.0,0.0
1715751586030693869,-0.2733785808086395,0.012104609981179237,0.02061064913868904,1715751586031658650,0.9997791647911072,-0.00018026787438429892,-0.0026636512484401464,-0.0207973700016737,1715751586034615871,0.005502080079168081,0.003942898008972406,0.00039720238419249654,1715751586038188681,-0.14458990097045898,-0.027346152812242508,-0.03081679530441761,1715751586027271250,0.0,0.0,0.0,0.0,1715751586032938972,-0.0010966331465169787,-0.002375879790633917,0.0035261271987110376,0.0,1715751586033751369,0.08591476827859879,-1.835407018661499,-0.0,0.0,1715751586028253886,0.0,0.0,0.0,0.0
1715751586039277102,-0.2733807861804962,0.012111503630876541,0.020613960921764374,1715751586041421236,0.9997798204421997,-0.00018342329713050276,-0.0026701875030994415,-0.02076372690498829,1715751586044333148,0.0056242807768285275,0.0038648347835987806,0.00033057157997973263,1715751586047106288,0.011572021059691906,0.34093672037124634,-0.04589946195483208,1715751586035542218,0.0,0.0,0.0,0.0,1715751586042511855,-0.002898771082982421,0.000636659620795399,-0.00019066594541072845,0.0,1715751586043386396,0.08805438131093979,-1.839946985244751,-0.0,0.0,1715751586036649042,0.0,0.0,0.0,0.0
1715751586048102351,-0.27337977290153503,0.012106645852327347,0.02061246894299984,1715751586048996708,0.9997791647911072,-0.00018772862676996738,-0.002679279772564769,-0.02079472318291664,1715751586052902032,0.005892518907785416,0.003991229459643364,0.00047722761519253254,1715751586059930667,0.01143750362098217,-0.27921926975250244,-0.0846809521317482,1715751586045167079,0.0,0.0,0.0,0.0,1715751586049997183,-0.00017621403094381094,-0.004705606494098902,0.001309369457885623,0.0,1715751586051774604,0.09082969278097153,-1.846267580986023,-0.0,0.0,1715751586046270873,0.0,0.0,0.0,0.0
1715751586060774787,-0.27337801456451416,0.012104248628020287,0.020613986998796463,1715751586062974261,0.9997797608375549,-0.00018706510309129953,-0.0026763780042529106,-0.020766090601682663,1715751586065864666,0.005894884932786226,0.004077957943081856,0.0006567721138708293,1715751586069395394,-0.03797491267323494,-0.003450632095336914,0.03406701982021332,1715751586057215700,0.0,0.0,0.0,0.0,1715751586064028961,0.000489481957629323,0.004310171585530043,-0.002117321128025651,0.0,1715751586065005877,0.09046746045351028,-1.8442585468292236,-0.0,0.0,1715751586058539720,0.0,0.0,0.0,0.0
1715751586070276633,-0.27338165044784546,0.012101327069103718,0.020613789558410645,1715751586071357090,0.9997801184654236,-0.00017957181262318045,-0.0026952463667839766,-0.02074553444981575,1715751586074943684,0.005708508193492889,0.003923971671611071,0.0006113307317718863,1715751586078307258,0.018426790833473206,0.10079829394817352,0.1136382594704628,1715751586068164797,0.0,0.0,0.0,0.0,1715751586072478653,-0.0012369066243991256,-0.002452320884913206,0.0004095144977327436,0.0,1715751586073690197,0.08507988601922989,-1.8571330308914185,-0.0,0.0,1715751586068468039,0.0,0.0,0.0,0.0
1715751586079199092,-0.2733837962150574,0.012095911428332329,0.020613206550478935,1715751586080056823,0.9997795224189758,-0.00018310175801161677,-0.002686450956389308,-0.02077575773000717,1715751586084300884,0.0056876433081924915,0.003909172955900431,0.00064980483148247,1715751586087210220,-0.12712885439395905,-0.02731499634683132,0.05682981386780739,1715751586076306362,0.0,0.0,0.0,0.0,1715751586081071204,0.00043035869020968676,-0.00226029334589839,0.0021528468932956457,0.0,1715751586083198829,0.0875784382224083,-1.851133942604065,-0.0,0.0,1715751586077300008,0.0,0.0,0.0,0.0
1715751586088202876,-0.2733818292617798,0.012093055061995983,0.020614448934793472,1715751586089256506,0.9997801184654236,-0.00018051166262011975,-0.0026779090985655785,-0.020750155672430992,1715751586092279313,0.005555255804210901,0.003816189942881465,0.0006409712368622422,1715751586097197803,-0.14593201875686646,0.14071053266525269,0.019384367391467094,1715751586085277148,0.0,0.0,0.0,0.0,1715751586090364730,-0.002218817127868533,0.000476736604468897,0.0009918673895299435,0.0,1715751586091352989,0.0859655886888504,-1.8452171087265015,-0.0,0.0,1715751586086287509,0.0,0.0,0.0,0.0
1715751586098219667,-0.27337852120399475,0.012084617279469967,0.020605605095624924,1715751586099362806,0.9997805953025818,-0.00018771702889353037,-0.0026860518846660852,-0.020726390182971954,1715751586104447473,0.0054419334046542645,0.003773223143070936,0.0005896739894524217,1715751586108567777,-0.169182687997818,0.08034862577915192,0.0394412986934185,1715751586094900506,0.0,0.0,0.0,0.0,1715751586100773722,-0.002890996402129531,-0.0024102707393467426,0.0008357971091754735,0.0,1715751586102290898,0.09085129201412201,-1.8509210348129272,-0.0,0.0,1715751586096132885,0.0,0.0,0.0,0.0
1715751586110159849,-0.273384690284729,0.012084180489182472,0.020596981048583984,1715751586111140361,0.99978107213974,-0.0001949489815160632,-0.0026697509456425905,-0.0207052119076252,1715751586116876972,0.005412732250988483,0.003545555518940091,0.0005112907965667546,1715751586119857400,0.15563170611858368,-0.09210876375436783,0.07689650356769562,1715751586106168564,0.0,0.0,0.0,0.0,1715751586112688647,-0.00310721667483449,-0.00044508156133815646,0.002076694741845131,0.0,1715751586115120008,0.09609907865524292,-1.8398056030273438,-0.0,0.0,1715751586107193757,0.0,0.0,0.0,0.0
