pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,motor.time,motor.m1,motor.m2,motor.m3,motor.m4,rpy.r,rpy.p,rpy.y,bat.time,bat
1719913572849242795,0.0026370203122496605,0.0033697905018925667,0.01805870048701763,1719913572851341101,0.9991881251335144,-0.006354319863021374,-0.0028273840434849262,0.039657022804021835,1719913572843789475,-0.0044222562573850155,-0.006515996530652046,-0.001228236360475421,1719913572848144853,-0.1831667125225067,-0.07082455605268478,-0.04890335351228714,1719913572847234208,0.0,0.0,0.0,0.0,-0.7431656718254089,0.290561318397522,4.54322624206543,1719913572845430644,3.7794721126556396
1719913572861017453,0.0025931955315172672,0.0032769900280982256,0.01816469430923462,1719913572862662187,0.9991897940635681,-0.0063567617908120155,-0.0028141860384494066,0.039616119116544724,1719913572853377661,-0.004785514436662197,-0.006824379786849022,-0.0021616180893033743,1719913572859361113,-0.1267094910144806,-0.1574385166168213,-0.03327149897813797,1719913572858119827,0.0,0.0,0.0,0.0,-0.7404407858848572,0.2948562800884247,4.547571659088135,1719913572856209808,3.7794721126556396
1719913572869027495,0.0025694991927593946,0.0032364102080464363,0.01821468025445938,1719913572870459854,0.9991915822029114,-0.006358195561915636,-0.002828060183674097,0.0395699068903923,1719913572865032537,-0.005011562258005142,-0.007101185619831085,-0.001784196705557406,1719913572868032190,0.03249077871441841,-0.20142970979213715,-0.15675126016139984,1719913572867094393,0.0,0.0,0.0,0.0,-0.7406483292579651,0.2933643162250519,4.542871475219727,1719913572866226655,3.7794721126556396
1719913572879934436,0.0025855142157524824,0.003253247356042266,0.018255116418004036,1719913572880907004,0.999193012714386,-0.006347868591547012,-0.002826139098033309,0.039534904062747955,1719913572873189914,-0.005114798899739981,-0.007315448950976133,-0.001578363822773099,1719913572878892727,0.19732826948165894,-0.23180489242076874,-0.15065635740756989,1719913572876391833,0.0,0.0,0.0,0.0,-0.7408618927001953,0.2949806749820709,4.537582874298096,1719913572875141191,3.7794721126556396
1719913572889590021,0.00259363348595798,0.0032581896521151066,0.018272079527378082,1719913572892924990,0.9991948008537292,-0.006343687418848276,-0.0028353449888527393,0.03949083015322685,1719913572883916806,-0.004920617211610079,-0.007168013136833906,-0.0013064254308119416,1719913572888627767,0.05719712749123573,-0.03141137957572937,0.217393159866333,1719913572886445729,0.0,0.0,0.0,0.0,-0.739660382270813,0.2948334813117981,4.533564567565918,1719913572885027763,3.7794721126556396
1719913572900365728,0.002595634199678898,0.0032632744405418634,0.018273159861564636,1719913572901609699,0.9991959929466248,-0.006336666643619537,-0.002824328374117613,0.039461180567741394,1719913572895546578,-0.00494184298440814,-0.00712460046634078,-0.0013258964754641056,1719913572899191649,-0.043131571263074875,-0.1479213684797287,-0.0811905711889267,1719913572898176635,0.0,0.0,0.0,0.0,-0.739210307598114,0.2959391176700592,4.528514862060547,1719913572896822097,3.7794721126556396
1719913572909817380,0.002547316253185272,0.003191519295796752,0.018258027732372284,1719913572912122289,0.9991951584815979,-0.006347164046019316,-0.00282545224763453,0.03948133811354637,1719913572904319144,-0.004870107397437096,-0.007093717809766531,-0.0014140967978164554,1719913572908881715,-0.16927127540111542,0.3397288918495178,0.003155343234539032,1719913572907799975,0.0,0.0,0.0,0.0,-0.7383477687835693,0.29473137855529785,4.525104522705078,1719913572906479092,3.7847506999969482
1719913572920543912,0.0025706959422677755,0.003317092778161168,0.018107304349541664,1719913572921953084,0.9991943836212158,-0.006349304225295782,-0.002801930997520685,0.039501938968896866,1719913572915448658,-0.004599811043590307,-0.006636595819145441,-0.002190974075347185,1719913572919221453,0.027090203016996384,0.21768493950366974,0.13140398263931274,1719913572917935160,0.0,0.0,0.0,0.0,-0.7395607829093933,0.2947976589202881,4.5274200439453125,1719913572916672495,3.7847506999969482
1719913572931739713,0.0025846369098871946,0.0033773831091821194,0.018032943829894066,1719913572933157140,0.9991961121559143,-0.006339618936181068,-0.0027815410867333412,0.03946170583367348,1719913572925823668,-0.0043817199766635895,-0.006489759311079979,-0.0026353378780186176,1719913572930341283,0.0643453299999237,0.09235461056232452,0.0972619280219078,1719913572928927910,0.0,0.0,0.0,0.0,-0.7397052645683289,0.29207953810691833,4.529765605926514,1719913572927364675,3.7794721126556396
1719913572940865355,0.002590741729363799,0.0034138429909944534,0.017996465787291527,1719913572941887075,0.9991951584815979,-0.006334858480840921,-0.002774322172626853,0.039486486464738846,1719913572935832521,-0.0042182342149317265,-0.006444605998694897,-0.002792904619127512,1719913572939935400,-0.17244574427604675,0.09729138761758804,0.029692551121115685,1719913572938985533,0.0,0.0,0.0,0.0,-0.7389270067214966,0.2900424301624298,4.532724380493164,1719913572937754660,3.7847506999969482
1719913572951930348,0.002596023492515087,0.0034248935990035534,0.017974011600017548,1719913572953238155,0.9991942048072815,-0.0063227517530322075,-0.0027760181110352278,0.03951289504766464,1719913572945104609,-0.00417258171364665,-0.0065393694676458836,-0.0028271302580833435,1719913572950374280,0.09998787939548492,0.06954885274171829,0.19716674089431763,1719913572949240691,0.0,0.0,0.0,0.0,-0.7378198504447937,0.28932809829711914,4.535571098327637,1719913572946693643,3.7847506999969482
