"Step","success","random4to5_woparticle_TP_seed1/09-08_22-43 - train/stats.success__MIN","random4to5_woparticle_TP_seed1/09-08_22-43 - train/stats.success__MAX"
"12","0.01708984375","0.01708984375","0.01708984375"
"37","0.0126953125","0.0126953125","0.0126953125"
"62","0.0166015625","0.0166015625","0.0166015625"
"87","0.0185546875","0.0185546875","0.0185546875"
"112","0.0146484375","0.0146484375","0.0146484375"
"137","0.01708984375","0.01708984375","0.01708984375"
"162","0.02099609375","0.02099609375","0.02099609375"
"187","0.01904296875","0.01904296875","0.01904296875"
"212","0.01513671875","0.01513671875","0.01513671875"
"237","0.01513671875","0.01513671875","0.01513671875"
"262","0.0185546875","0.0185546875","0.0185546875"
"287","0.017578125","0.017578125","0.017578125"
"312","0.015625","0.015625","0.015625"
"337","0.0224609375","0.0224609375","0.0224609375"
"362","0.0146484375","0.0146484375","0.0146484375"
"387","0.01806640625","0.01806640625","0.01806640625"
"412","0.02001953125","0.02001953125","0.02001953125"
"437","0.0185546875","0.0185546875","0.0185546875"
"462","0.0126953125","0.0126953125","0.0126953125"
"487","0.015625","0.015625","0.015625"
"512","0.0146484375","0.0146484375","0.0146484375"
"537","0.0205078125","0.0205078125","0.0205078125"
"562","0.0166015625","0.0166015625","0.0166015625"
"587","0.01708984375","0.01708984375","0.01708984375"
"612","0.0185546875","0.0185546875","0.0185546875"
"637","0.017578125","0.017578125","0.017578125"
"662","0.01806640625","0.01806640625","0.01806640625"
"687","0.01416015625","0.01416015625","0.01416015625"
"712","0.02197265625","0.02197265625","0.02197265625"
"737","0.02001953125","0.02001953125","0.02001953125"
"762","0.017578125","0.017578125","0.017578125"
"787","0.01220703125","0.01220703125","0.01220703125"
"812","0.02099609375","0.02099609375","0.02099609375"
"837","0.02001953125","0.02001953125","0.02001953125"
"862","0.01708984375","0.01708984375","0.01708984375"
"887","0.01953125","0.01953125","0.01953125"
"912","0.02099609375","0.02099609375","0.02099609375"
"937","0.01220703125","0.01220703125","0.01220703125"
"962","0.015625","0.015625","0.015625"
"987","0.017578125","0.017578125","0.017578125"
"1012","0.01416015625","0.01416015625","0.01416015625"
"1037","0.01953125","0.01953125","0.01953125"
"1062","0.0185546875","0.0185546875","0.0185546875"
"1087","0.01904296875","0.01904296875","0.01904296875"
"1112","0.02197265625","0.02197265625","0.02197265625"
"1137","0.0185546875","0.0185546875","0.0185546875"
"1162","0.01708984375","0.01708984375","0.01708984375"
"1187","0.017578125","0.017578125","0.017578125"
"1212","0.0185546875","0.0185546875","0.0185546875"
"1237","0.0166015625","0.0166015625","0.0166015625"
"1262","0.02392578125","0.02392578125","0.02392578125"
"1287","0.01513671875","0.01513671875","0.01513671875"
"1312","0.0146484375","0.0146484375","0.0146484375"
"1337","0.017578125","0.017578125","0.017578125"
"1362","0.0185546875","0.0185546875","0.0185546875"
"1387","0.0185546875","0.0185546875","0.0185546875"
"1412","0.015625","0.015625","0.015625"
"1437","0.01611328125","0.01611328125","0.01611328125"
"1462","0.01416015625","0.01416015625","0.01416015625"
"1487","0.01806640625","0.01806640625","0.01806640625"
"1512","0.01904296875","0.01904296875","0.01904296875"
"1537","0.0107421875","0.0107421875","0.0107421875"
"1562","0.01220703125","0.01220703125","0.01220703125"
"1587","0.01318359375","0.01318359375","0.01318359375"
"1612","0.01953125","0.01953125","0.01953125"
"1637","0.017578125","0.017578125","0.017578125"
"1662","0.0126953125","0.0126953125","0.0126953125"
"1687","0.01416015625","0.01416015625","0.01416015625"
"1712","0.009765625","0.009765625","0.009765625"
"1737","0.015625","0.015625","0.015625"
"1762","0.01171875","0.01171875","0.01171875"
"1787","0.015625","0.015625","0.015625"
"1812","0.01953125","0.01953125","0.01953125"
"1837","0.0146484375","0.0146484375","0.0146484375"
"1862","0.01953125","0.01953125","0.01953125"
"1887","0.02001953125","0.02001953125","0.02001953125"
"1912","0.01611328125","0.01611328125","0.01611328125"
"1937","0.01611328125","0.01611328125","0.01611328125"
"1962","0.017578125","0.017578125","0.017578125"
"1987","0.0126953125","0.0126953125","0.0126953125"
"2012","0.01171875","0.01171875","0.01171875"
"2037","0.02001953125","0.02001953125","0.02001953125"
"2062","0.0107421875","0.0107421875","0.0107421875"
"2087","0.01513671875","0.01513671875","0.01513671875"
"2112","0.0185546875","0.0185546875","0.0185546875"
"2137","0.01513671875","0.01513671875","0.01513671875"
"2162","0.015625","0.015625","0.015625"
"2187","0.017578125","0.017578125","0.017578125"
"2212","0.015625","0.015625","0.015625"
"2237","0.01220703125","0.01220703125","0.01220703125"
"2262","0.0244140625","0.0244140625","0.0244140625"
"2287","0.01123046875","0.01123046875","0.01123046875"
"2312","0.01416015625","0.01416015625","0.01416015625"
"2337","0.015625","0.015625","0.015625"
"2362","0.0166015625","0.0166015625","0.0166015625"
"2387","0.01806640625","0.01806640625","0.01806640625"
"2412","0.0166015625","0.0166015625","0.0166015625"
"2437","0.01806640625","0.01806640625","0.01806640625"
"2462","0.01513671875","0.01513671875","0.01513671875"
"2487","0.013671875","0.013671875","0.013671875"
"2512","0.015625","0.015625","0.015625"
"2537","0.01513671875","0.01513671875","0.01513671875"
"2562","0.01416015625","0.01416015625","0.01416015625"
"2587","0.0146484375","0.0146484375","0.0146484375"
"2612","0.021484375","0.021484375","0.021484375"
"2637","0.02001953125","0.02001953125","0.02001953125"
"2662","0.013671875","0.013671875","0.013671875"
"2687","0.0126953125","0.0126953125","0.0126953125"
"2712","0.0244140625","0.0244140625","0.0244140625"
"2737","0.02001953125","0.02001953125","0.02001953125"
