pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,motor.time,motor.m1,motor.m2,motor.m3,motor.m4,bat.time,bat
1719470113255465593,0.5752062797546387,0.2653985917568207,0.017683273181319237,1719470113256604465,0.9996876120567322,0.006427594926208258,-0.0018725539557635784,0.02403850294649601,1719470113250336921,-0.006151131819933653,-0.006233951076865196,0.0008409107103943825,1719470113254594820,-0.2640645503997803,-0.22823110222816467,0.10120716691017151,1719470113253551365,0.0,0.0,0.0,0.0,1719470113252126701,3.7425220012664795
1719470113265365914,0.575145959854126,0.26533615589141846,0.017691629007458687,1719470113267108574,0.9996883869171143,0.006420006509870291,-0.001884334604255855,0.02400682307779789,1719470113257713934,-0.006054035387933254,-0.0062102158553898335,0.0008884515846148133,1719470113264517034,-0.04008990153670311,-0.08431355655193329,-0.0304759219288826,1719470113262440242,0.0,0.0,0.0,0.0,1719470113260463698,3.7425220012664795
1719470113275279249,0.5752151608467102,0.2653968632221222,0.017670566216111183,1719470113277229618,0.9996876120567322,0.006444029044359922,-0.0018736164784058928,0.02403372898697853,1719470113268311480,-0.005960762966424227,-0.006317055784165859,0.0009215059690177441,1719470113274253065,-0.29673680663108826,-0.16731466352939606,-0.005699398927390575,1719470113273486599,0.0,0.0,0.0,0.0,1719470113270487962,3.7425220012664795
1719470113285479246,0.575156569480896,0.26533228158950806,0.017679637297987938,1719470113286574501,0.9996883869171143,0.006422771606594324,-0.0018801231635734439,0.024007249623537064,1719470113278037978,-0.005906830541789532,-0.006558143999427557,0.0009502343600615859,1719470113284451070,0.003871950088068843,-0.035362351685762405,-0.15544746816158295,1719470113283170384,0.0,0.0,0.0,0.0,1719470113280258085,3.7425220012664795
1719470113295672041,0.575168788433075,0.2653210461139679,0.017679475247859955,1719470113297654745,0.9996877312660217,0.006446728948503733,-0.00188113609328866,0.024029426276683807,1719470113287317464,-0.005868063308298588,-0.006635786034166813,0.0009180470951832831,1719470113294503758,-0.1560194045305252,0.0018066237680613995,0.0948859229683876,1719470113293626782,0.0,0.0,0.0,0.0,1719470113290803903,3.7425220012664795
1719470113305482536,0.575168788433075,0.2653210461139679,0.017679475247859955,1719470113306969190,0.9996882677078247,0.006431384012103081,-0.0018754181219264865,0.02400943636894226,1719470113298368575,-0.005848827306181192,-0.006665361579507589,0.0008438520599156618,1719470113302567968,-0.052559744566679,0.2600056529045105,0.08809489011764526,1719470113300822331,0.0,0.0,0.0,0.0,1719470113299724536,3.7425220012664795
1719470113314510394,0.5751694440841675,0.26531660556793213,0.01768302172422409,1719470113316547042,0.9996882677078247,0.006431384012103081,-0.0018754181219264865,0.02400943636894226,1719470113307888437,-0.005731848068535328,-0.006701544392853975,0.0008177210693247616,1719470113313593602,-0.014975149184465408,-0.13249337673187256,0.02464718371629715,1719470113311359730,0.0,0.0,0.0,0.0,1719470113310273872,3.7425220012664795
1719470113325288733,0.5752021670341492,0.26535409688949585,0.017680006101727486,1719470113326583591,0.9996891617774963,0.006411510985344648,-0.0018849921179935336,0.02397777885198593,1719470113317771443,-0.005462495144456625,-0.006441171746701002,0.0006680975784547627,1719470113324067836,-0.37487727403640747,0.058850470930337906,-0.0410492978990078,1719470113321973341,0.0,0.0,0.0,0.0,1719470113320713184,3.7425220012664795
1719470113337275928,0.5752148628234863,0.26536715030670166,0.017675038427114487,1719470113338532481,0.9996907114982605,0.006364458706229925,-0.001908311271108687,0.02392268367111683,1719470113327600357,-0.005328896455466747,-0.006244401913136244,0.0006038318970240653,1719470113335863913,-0.25930705666542053,-0.43044570088386536,-0.16128434240818024,1719470113331935358,0.0,0.0,0.0,0.0,1719470113329710131,3.7425220012664795
1719470113345751377,0.5752217769622803,0.2653740346431732,0.01767326332628727,1719470113346893063,0.9996899366378784,0.0063906144350767136,-0.00191894278395921,0.02394704334437847,1719470113339617033,-0.005351461004465818,-0.006155597977340221,0.0007997103384695947,1719470113343627390,0.035905614495277405,-0.1239989846944809,0.022742992267012596,1719470113342280989,0.0,0.0,0.0,0.0,1719470113341587571,3.7425220012664795
1719470113355014900,0.5752279162406921,0.2653731107711792,0.017673630267381668,1719470113357414695,0.9996892809867859,0.006387176923453808,-0.0019260966219007969,0.023977011442184448,1719470113348156348,-0.005227913148701191,-0.006203109864145517,0.0008864465053193271,1719470113353633239,-0.2577767074108124,-0.005364300683140755,0.057284001260995865,1719470113352469469,0.0,0.0,0.0,0.0,1719470113350339334,3.7425220012664795
1719470113366239915,0.5752304196357727,0.26537179946899414,0.017674611881375313,1719470113367149661,0.999688446521759,0.006398631259799004,-0.0019341559382155538,0.024006081745028496,1719470113358395907,-0.005042786244302988,-0.006211130879819393,0.0010368701769039035,1719470113364280569,-0.28852730989456177,-0.30407676100730896,-0.06993008404970169,1719470113361286003,0.0,0.0,0.0,0.0,1719470113360291787,3.747800588607788
1719470113374491584,0.5752309560775757,0.2653764486312866,0.017672766000032425,1719470113376574013,0.9996878504753113,0.006413197610527277,-0.0019207857549190521,0.024028833955526352,1719470113368500027,-0.004921816289424896,-0.006107585038989782,0.0010312659433111548,1719470113373494511,-0.0658954456448555,0.2825179100036621,0.030033661052584648,1719470113371224890,0.0,0.0,0.0,0.0,1719470113370308229,3.7425220012664795
