pos.time,pos.x,pos.y,pos.z,rpy.r,rpy.p,rpy.y,vel.time,vel.x,vel.y,vel.z,rate_rpy.time,rate_rpy.r,rate_rpy.p,rate_rpy.y,motor.time,motor.m1,motor.m2,motor.m3,motor.m4
1719993343690806768,0.02175094187259674,-0.00767513457685709,0.020684553310275078,0.3299979269504547,0.6813479065895081,2.6150453090667725,1719993343687559666,0.010651984252035618,-0.004616801161319017,0.00015134028217289597,1719993343692955825,0.0,-1.0,-1.0,1719993343689732777,0.0,0.0,0.0,0.0
1719993343701679091,0.021729519590735435,-0.007660361472517252,0.020676134154200554,0.3296167254447937,0.6796802878379822,2.613379955291748,1719993343696744029,0.01050744391977787,-0.004685844294726849,0.0001542007375974208,1719993343703228834,1.0,2.0,1.0,1719993343700614690,0.0,0.0,0.0,0.0
1719993343711457135,0.021717362105846405,-0.007643207907676697,0.020660705864429474,0.32887405157089233,0.6806217432022095,2.610781669616699,1719993343706548858,0.01042129285633564,-0.004729736130684614,8.581049769418314e-05,1719993343712874554,0.0,2.0,5.0,1719993343710191723,0.0,0.0,0.0,0.0
1719993343721225872,0.021706193685531616,-0.007634824141860008,0.020651409402489662,0.3279743790626526,0.6810186505317688,2.6141905784606934,1719993343715771830,0.010356893762946129,-0.004510785453021526,-0.00011474669008748606,1719993343722189955,-2.0,-3.0,-1.0,1719993343719999855,0.0,0.0,0.0,0.0
1719993343731398786,0.021709315478801727,-0.007631406188011169,0.02064462937414646,0.325705349445343,0.6791833639144897,2.6103668212890625,1719993343725238726,0.010475664399564266,-0.004374719690531492,-0.0002725888043642044,1719993343732404751,1.0,-1.0,1.0,1719993343730494280,0.0,0.0,0.0,0.0
1719993343741694105,0.021817684173583984,-0.007676260080188513,0.02064027450978756,0.32625454664230347,0.6786003708839417,2.607856512069702,1719993343735716286,0.010607077740132809,-0.0044508203864097595,-0.0003549449611455202,1719993343742947328,1.0,-1.0,-3.0,1719993343740702434,0.0,0.0,0.0,0.0
1719993343753281355,0.021825434640049934,-0.007669502403587103,0.02064107172191143,0.32651370763778687,0.6769702434539795,2.60489559173584,1719993343745513050,0.010782936587929726,-0.004403233993798494,-0.0004915290628559887,1719993343754254400,0.0,0.0,-1.0,1719993343751977827,0.0,0.0,0.0,0.0
1719993343761689336,0.021805819123983383,-0.007652346510440111,0.02064979076385498,0.3271175026893616,0.6765615344047546,2.600433349609375,1719993343757213288,0.010835072956979275,-0.00431510154157877,-0.00035385548835620284,1719993343762696040,0.0,4.0,-3.0,1719993343760401431,0.0,0.0,0.0,0.0
1719993343772202515,0.02179386094212532,-0.0076465425081551075,0.020662685856223106,0.3275238871574402,0.677541196346283,2.596895933151245,1719993343765742224,0.01068709697574377,-0.004309669602662325,-0.00021270281285978854,1719993343773030391,0.0,0.0,1.0,1719993343771218980,0.0,0.0,0.0,0.0
1719993343782089924,0.02178957127034664,-0.0076467194594442844,0.020664861425757408,0.3266693353652954,0.6771359443664551,2.600665807723999,1719993343776017204,0.01069597527384758,-0.004358950071036816,-0.00027696089819073677,1719993343783434241,1.0,-1.0,2.0,1719993343779965653,0.0,0.0,0.0,0.0
1719993343791944904,0.02178398333489895,-0.007640318013727665,0.020663514733314514,0.32538676261901855,0.676681637763977,2.604367971420288,1719993343787082751,0.010674970224499702,-0.004481283947825432,-0.00036232630372978747,1719993343792755150,-2.0,-4.0,0.0,1719993343790215277,0.0,0.0,0.0,0.0
1719993343802316381,0.021777519956231117,-0.007636324968189001,0.020639274269342422,0.3242260217666626,0.674632728099823,2.6022140979766846,1719993343795937370,0.010789182968437672,-0.00448258500546217,-0.0006131157861091197,1719993343803508542,2.0,-3.0,0.0,1719993343801252038,0.0,0.0,0.0,0.0
1719993343812637773,0.02176707051694393,-0.00762949837371707,0.02062428556382656,0.3251613974571228,0.6724609136581421,2.5980281829833984,1719993343805356138,0.010797064751386642,-0.004244628828018904,-0.00070188008248806,1719993343813437216,-2.0,-1.0,5.0,1719993343811617390,0.0,0.0,0.0,0.0
