pos.time,pos.x,pos.y,pos.z,rpy.r,rpy.p,rpy.y,vel.time,vel.x,vel.y,vel.z,rate_rpy.time,rate_rpy.r,rate_rpy.p,rate_rpy.y,motor.time,motor.m1,motor.m2,motor.m3,motor.m4
1719993835160745070,0.021531999111175537,-0.0062676467932760715,0.020692363381385803,0.6387461423873901,1.5806087255477905,3.2815041542053223,1719993835165500875,0.021649522706866264,0.004416751209646463,-0.014964014291763306,1719993835161728738,0.0,1.0,3.0,1719993835159941825,0.0,0.0,0.0,0.0
1719993835170686196,0.02153622731566429,-0.0062721529975533485,0.020684082061052322,0.6394283175468445,1.5800286531448364,3.284899950027466,1719993835174223587,0.021942565217614174,0.004455622751265764,-0.01512024737894535,1719993835171406667,-3.0,3.0,4.0,1719993835169856724,0.0,0.0,0.0,0.0
1719993835182300943,0.021538272500038147,-0.006269140634685755,0.020686117932200432,0.6381385922431946,1.5808395147323608,3.2879319190979004,1719993835186586921,0.02221287041902542,0.004504411481320858,-0.015132597647607327,1719993835183985952,0.0,1.0,0.0,1719993835180632303,0.0,0.0,0.0,0.0
1719993835191781236,0.021540438756346703,-0.006271045189350843,0.020682567730545998,0.6383711695671082,1.582778811454773,3.292214870452881,1719993835195275778,0.022305434569716454,0.004591651260852814,-0.014976668171584606,1719993835192850919,0.0,0.0,0.0,1719993835190591978,0.0,0.0,0.0,0.0
1719993835201351877,0.021547675132751465,-0.0062754410319030285,0.02068255841732025,0.6403244733810425,1.5823184251785278,3.294828414916992,1719993835205278385,0.02239917404949665,0.004736700095236301,-0.01472507230937481,1719993835202582797,-1.0,4.0,0.0,1719993835200264062,0.0,0.0,0.0,0.0
1719993835212487905,0.02176813594996929,-0.006229664199054241,0.020537393167614937,0.6397055387496948,1.582911491394043,3.2978532314300537,1719993835216613944,0.022508367896080017,0.004731139168143272,-0.014557710848748684,1719993835213372940,0.0,2.0,0.0,1719993835211411139,0.0,0.0,0.0,0.0
1719993835222330221,0.02154352515935898,-0.006272608879953623,0.020668577402830124,0.6391330361366272,1.5838216543197632,3.3009495735168457,1719993835226190181,0.022550193592905998,0.004665529355406761,-0.014486800879240036,1719993835223235203,-2.0,0.0,-1.0,1719993835221402546,0.0,0.0,0.0,0.0
1719993835231606155,0.021765591576695442,-0.00622641621157527,0.020526543259620667,0.6366730332374573,1.581877589225769,3.300865411758423,1719993835236079615,0.02251649834215641,0.004726639948785305,-0.014428641647100449,1719993835232747788,-1.0,1.0,0.0,1719993835229452852,0.0,0.0,0.0,0.0
1719993835242431262,0.021760372444987297,-0.006227182690054178,0.0205284021794796,0.6381966471672058,1.5817914009094238,3.3039705753326416,1719993835247243212,0.02255893684923649,0.004754670429974794,-0.01443509105592966,1719993835243672571,3.0,-1.0,1.0,1719993835240220777,0.0,0.0,0.0,0.0
1719993835251793661,0.02175717055797577,-0.00622753519564867,0.02052999474108219,0.6381966471672058,1.5817914009094238,3.3039705753326416,1719993835254931042,0.022715870290994644,0.0047293175011873245,-0.014459103345870972,1719993835252677669,-1.0,1.0,1.0,1719993835250572504,0.0,0.0,0.0,0.0
1719993835261844592,0.02178301103413105,-0.006226038560271263,0.02051849290728569,0.6374861598014832,1.5804860591888428,3.299567937850952,1719993835265053538,0.022630466148257256,0.00467245327308774,-0.014463940635323524,1719993835263007651,-2.0,3.0,1.0,1719993835260882994,0.0,0.0,0.0,0.0
1719993835272082867,0.02176695317029953,-0.006231275387108326,0.02052880823612213,0.6368723511695862,1.5822721719741821,3.3031680583953857,1719993835275733083,0.02262481302022934,0.004660332575440407,-0.014507689513266087,1719993835273284138,0.0,0.0,4.0,1719993835270967679,0.0,0.0,0.0,0.0
1719993835281864693,0.021765489131212234,-0.006234415341168642,0.020533442497253418,0.636172354221344,1.580906629562378,3.3003876209259033,1719993835285359471,0.02262481302022934,0.004660332575440407,-0.014507689513266087,1719993835283072088,1.0,-2.0,-1.0,1719993835279891746,0.0,0.0,0.0,0.0
1719993835292318403,0.02169344574213028,-0.006279192864894867,0.020599450916051865,0.6368435025215149,1.5853065252304077,3.3029515743255615,1719993835295816626,0.021498337388038635,0.004491233266890049,-0.013090774416923523,1719993835293409177,0.0,2.0,0.0,1719993835291303557,0.0,0.0,0.0,0.0
1719993835303139245,0.021622786298394203,-0.00627768924459815,0.02063748426735401,0.638261616230011,1.588889479637146,3.3057034015655518,1719993835306280969,0.021498337388038635,0.004491233266890049,-0.013090774416923523,1719993835304068470,1.0,-2.0,0.0,1719993835302114074,0.0,0.0,0.0,0.0
1719993835312659437,0.021585073322057724,-0.006280635483562946,0.020660778507590294,0.6380000114440918,1.5864529609680176,3.3018391132354736,1719993835316280419,0.021196288987994194,0.0043730721808969975,-0.012653191573917866,1719993835314011136,-4.0,1.0,3.0,1719993835310621624,0.0,0.0,0.0,0.0
1719993835322961463,0.021566839888691902,-0.006277795881032944,0.020670253783464432,0.6356734037399292,1.5841180086135864,3.2997045516967773,1719993835326317591,0.021713294088840485,0.004443729761987925,-0.013204634189605713,1719993835324047253,1.0,3.0,-5.0,1719993835321010242,0.0,0.0,0.0,0.0
