send_msg.time,send_msg.r,send_msg.p,send_msg.y,send_msg.thrust
1716287311265486543,0.0,0.0,0.0,0.0
1716287311285606347,0.0,0.0,0.0,0.0
1716287311305624787,0.0,0.0,0.0,0.0
1716287311325735867,0.0,0.0,0.0,0.0
1716287311345472322,0.0,0.0,0.0,0.0
1716287311365653439,0.0,0.0,0.0,0.0
1716287311385389955,0.0,0.0,0.0,0.0
1716287311405670467,0.0,0.0,0.0,0.0
1716287311425560094,0.0,0.0,0.0,0.0
1716287311445597329,0.0,0.0,0.0,0.0
1716287311465562326,0.0,0.0,0.0,0.0
1716287311485545177,0.0,0.0,0.0,0.0
1716287311505453734,0.0,0.0,0.0,0.0
1716287311525469772,0.0,0.0,0.0,0.0
1716287311545704199,0.0,0.0,0.0,0.0
1716287311565486143,0.0,0.0,0.0,0.0
1716287311585607317,0.0,0.0,0.0,0.0
1716287311605518775,0.0,0.0,0.0,0.0
1716287311625577689,0.0,0.0,0.0,0.0
1716287311645671948,0.0,0.0,0.0,0.0
1716287311669378525,-2.6058979891240597,5.6305863708257675,0.0,45635.0546875
1716287311681241130,-2.611756604164839,5.643196105957031,0.0,45634.9462890625
1716287311691584760,-2.4822531826794147,5.771400332450867,0.0,45634.7861328125
1716287311701983181,2.188147120177746,8.184380605816841,0.0,45534.693359375
1716287311712087223,-3.831511437892914,5.426117219030857,0.0,45703.451171875
1716287311722463667,-6.268071010708809,4.93774026632309,0.0,45673.8046875
1716287311734781220,2.169416919350624,8.776335418224335,0.0,45491.80078125
1716287311743357817,-8.9957495033741,3.70958860963583,0.0,45781.9921875
1716287311759069518,-2.1031874790787697,5.425572730600834,0.0,45608.6767578125
1716287311769951293,-3.551219590008259,5.8155447989702225,0.0,45652.73828125
1716287311775277974,-2.914351522922516,5.394189544022083,0.0,45655.1884765625
1716287311786721239,-0.7304615713655949,6.667775139212608,0.0,45635.2353515625
1716287311797767976,3.131253719329834,10.979965254664421,0.0,45474.1044921875
1716287311809068439,-2.220830675214529,7.550233975052834,0.0,45593.998046875
1716287311819365394,-7.9346756637096405,4.226474426686764,0.0,45772.6162109375
1716287311829917481,-1.7637564428150654,5.490634739398956,0.0,45597.2080078125
1716287311840431319,-3.258199989795685,4.738287851214409,0.0,45648.716796875
1716287311850818459,0.1770258997566998,7.240698337554932,0.0,45539.396484375
1716287311860617616,-1.7545908316969872,6.1779481172561646,0.0,45624.482421875
1716287311870330395,-3.9688053354620934,5.775377377867699,0.0,45685.7197265625
1716287311881465940,-1.3689735811203718,6.8228088319301605,0.0,45648.861328125
1716287311894501355,-5.7762812823057175,3.2459577172994614,0.0,45657.869140625
1716287311902241829,2.502049058675766,8.394643664360046,0.0,45489.6162109375
1716287311913642577,0.5310726491734385,7.444785609841347,0.0,45547.5859375
1716287311923848045,-3.372505344450474,4.726302735507488,0.0,45684.8486328125
1716287311934885424,-4.612414464354515,2.5859074853360653,0.0,45629.6708984375
1716287311949704083,-3.4198325872421265,1.8957273289561272,0.0,45611.46875
1716287311956832723,-0.4941566940397024,4.048304334282875,0.0,45494.2880859375
1716287311966723678,-1.670546494424343,5.087624453008175,0.0,45514.1279296875
1716287311976888974,-1.51293670758605,5.033689923584461,0.0,45536.2919921875
1716287311988675086,-0.6377778388559818,4.946106411516666,0.0,45582.857421875
1716287311998325633,-7.019975334405899,0.6823051907122135,0.0,45502.8466796875
1716287312007828891,-2.3545389622449875,2.604901548475027,0.0,45516.861328125
1716287312018310271,-4.5604268833994865,1.5703659877181053,0.0,45523.5048828125
1716287312027371322,-0.5167369544506073,3.498152419924736,0.0,45438.6884765625
1716287312037703765,0.9770241379737854,2.819898873567581,0.0,45244.72265625
1716287312048000042,-4.903025776147842,-0.32855407102033496,0.0,45551.0478515625
1716287312057591897,-2.27792015299201,0.2043628692626953,0.0,45447.400390625
1716287312068138661,-2.4315669760107994,-0.22890889551490545,0.0,45407.962890625
1716287312079350633,0.22679891902953386,-1.8026690930128098,0.0,45096.908203125
1716287312092294383,-1.0693462751805782,-0.7744179479777813,0.0,45352.947265625
1716287312102138045,2.539452128112316,0.9150620084255934,0.0,45386.103515625
1716287312113218697,-1.668888721615076,-1.3165561761707067,0.0,45323.8779296875
1716287312123883528,-0.3422609344124794,-4.711791314184666,0.0,45004.1630859375
1716287312134137312,-1.7416235245764256,-2.8474488481879234,0.0,45325.134765625
1716287312145040811,0.7975724525749683,-2.1762476675212383,0.0,45332.689453125
1716287312156723145,0.5338906450197101,-5.194348879158497,0.0,44841.3603515625
1716287312165641841,-3.2924695685505867,-3.2415954396128654,0.0,45240.869140625
1716287312176704805,-3.392045237123966,-5.0411531701684,0.0,45294.94921875
1716287312186463222,-3.3086644113063812,-5.317343920469284,0.0,45300.439453125
1716287312196397409,-1.8840603902935982,-4.442848563194275,0.0,45289.7744140625
1716287312199654185,9.65309590101242,-36.09700530767441,0.0,32991.41401672363
1716287312204576506,-3.792620077729225,-4.88630723208189,0.0,45193.5498046875
1716287312217038089,-1.5036307834088802,-4.804966561496258,0.0,45245.5078125
1716287312227237768,-1.0489127039909363,-4.432363472878933,0.0,45259.8916015625
1716287312238138748,-1.6860654205083847,-10.32893881201744,0.0,44758.8876953125
1716287312247707980,6.108710244297981,-0.8177978172898293,0.0,44949.2724609375
1716287312257794592,1.7845641821622849,-2.2747643664479256,0.0,45312.65234375
1716287312268412428,3.554277643561363,-2.95667577534914,0.0,45260.46875
1716287312278219510,8.856792971491814,3.1952371448278427,0.0,44796.505859375
1716287312288641788,1.2769060023128986,-9.95136559009552,0.0,44826.32421875
1716287312299515813,12.43358239531517,1.443843673914671,0.0,44970.0302734375
1716287312309287816,2.2271630354225636,-0.6637933384627104,0.0,45165.677734375
1716287312319008443,12.24213033914566,2.4177691899240017,0.0,44963.482421875
1716287312329593135,3.9165542274713516,-10.449988916516304,0.0,44597.716796875
1716287312339956350,15.310323983430862,5.11012751609087,0.0,44771.28515625
1716287312351077391,3.4602534770965576,-1.4946661703288555,0.0,45263.9697265625
1716287312361903678,-0.1680088264402002,-4.36630804091692,0.0,45060.8037109375
1716287312372585367,5.371111147105694,-12.468813210725784,0.0,44375.3974609375
1716287312383488505,4.89575631916523,-1.9827811047434807,0.0,45093.59375
1716287312394421583,-3.859153613448143,-6.982515603303909,0.0,45091.7744140625
1716287312404523798,9.592014625668526,-0.33537019276991487,0.0,44980.537109375
1716287312415006402,4.2194614559412,-10.922178402543068,0.0,44532.8330078125
1716287312425972250,0.93387795612216,-3.7503642216324806,0.0,45138.79296875
1716287312436008662,6.2117332220077515,-1.6647162102162838,0.0,45029.068359375
1716287312446641510,5.49259576946497,-1.881218422204256,0.0,45092.919921875
1716287312457053189,4.427877478301525,-10.220608413219452,0.0,44207.0166015625
1716287312467567539,2.745732106268406,-4.404467158019543,0.0,45112.3564453125
1716287312478154219,3.9802630618214607,-2.459071855992079,0.0,44846.9619140625
1716287312489082698,5.539013743400574,-4.1304439678788185,0.0,45119.2880859375
1716287312492942353,16.195153892040253,-5.5181847140192986,0.0,32123.27557373047
1716287312496867610,3.2986852526664734,-4.395553506910801,0.0,45214.3046875
1716287312510423943,11.708252727985382,2.649038638919592,0.0,44739.6953125
1716287312520544182,7.824769467115402,1.7345952987670898,0.0,45119.14453125
1716287312530896934,5.6996190547943115,-8.857832998037338,0.0,44133.46484375
1716287312541044993,0.9723311942070723,-4.772077649831772,0.0,45074.896484375
1716287312551411623,7.366378605365753,-0.743375988677144,0.0,44871.2041015625
1716287312561935205,3.9980092272162437,-1.9375744834542274,0.0,45046.3642578125
1716287312572389166,7.972718775272369,-7.4495116621255875,0.0,44069.03515625
1716287312583173935,3.9899689704179764,-1.7646506242454052,0.0,45013.2060546875
1716287312593852547,3.0386440828442574,-1.860749814659357,0.0,44979.4814453125
1716287312603990092,3.806563876569271,-1.7522653564810753,0.0,45053.2822265625
1716287312614603172,9.792925491929054,-5.660234838724136,0.0,43907.359375
1716287312625488502,-1.0974347870796919,-3.4624911099672318,0.0,45104.1728515625
1716287312635462290,5.1864537969231606,-0.4538625804707408,0.0,44877.873046875
1716287312646740547,3.1297003850340843,-2.563706673681736,0.0,44955.5439453125
1716287312657414663,5.771331936120987,-6.328054592013359,0.0,44064.373046875
1716287312669951782,2.3173238150775433,-2.913561277091503,0.0,45028.1787109375
1716287312678692034,5.426821298897266,-0.8583968225866556,0.0,44897.42578125
1716287312688496091,4.8399921879172325,-1.4830677956342697,0.0,44939.20703125
1716287312699001293,7.383177950978279,-6.026666834950447,0.0,43835.4619140625
1716287312709413617,3.1026409193873405,-1.4059842936694622,0.0,44899.7861328125
1716287312719338119,2.8182369098067284,-1.9003385491669178,0.0,44899.6328125
1716287312730176617,13.220106661319733,-2.703761402517557,0.0,43709.142578125
1716287312740771397,-0.5005996534600854,-1.5941975824534893,0.0,45023.658203125
1716287312751226058,4.530983604490757,-0.37334677297621965,0.0,44902.5009765625
1716287312761748874,3.1968052312731743,-1.2144129630178213,0.0,44872.7578125
1716287312771650754,1.7555096559226513,-1.3041422422975302,0.0,44929.8134765625
1716287312782290546,5.018508955836296,-5.5696723982691765,0.0,43699.458984375
1716287312791292195,10.230788066983223,5.577280148863792,0.0,44708.9375
1716287312804170880,-4.025849886238575,-2.556564621627331,0.0,44916.6494140625
1716287312814165653,10.715078338980675,-3.2769761234521866,0.0,43808.248046875
1716287312824620847,-0.348237210419029,-0.9903258830308914,0.0,44983.2060546875
1716287312835007198,-0.6878617219626904,-1.6940755024552345,0.0,44947.796875
1716287312845458296,5.40912676602602,2.2935381531715393,0.0,44578.88671875
1716287312856208608,0.8038697764277458,-5.4755473136901855,0.0,44190.166015625
1716287312866833450,0.9924334287643433,-0.14992866315878928,0.0,44728.0087890625
1716287312876835630,1.5172594226896763,-0.9017664659768343,0.0,44919.54296875
1716287312887188580,-0.17386878258548677,-0.5201002350077033,0.0,44858.9541015625
1716287312898051420,-0.11372950742952526,-5.394737720489502,0.0,43720.830078125
1716287312908770956,3.1230679526925087,1.680959165096283,0.0,44817.7724609375
1716287312919069337,0.6487415777519345,0.12420109240338206,0.0,44867.5087890625
1716287312929470172,-0.013681109994649887,0.07108096440788358,0.0,44800.396484375
1716287312939964491,0.01956285908818245,-4.672376923263073,0.0,43870.53515625
1716287312950376240,-0.16781906015239656,-0.7281040772795677,0.0,44832.4052734375
1716287312960878567,6.7489635944366455,4.988513141870499,0.0,44372.240234375
1716287312970952076,1.3415120355784893,-0.36056810058653355,0.0,44997.4765625
1716287312974726702,-34.66126710176468,-8.23102355003357,0.0,32370.19140625
1716287312979005941,6.500189378857613,4.56706702709198,0.0,44458.720703125
1716287312990664902,0.6745186122134328,-0.35085655516013503,0.0,44880.6953125
1716287313001790557,-4.824222140014172,-4.635535106062889,0.0,44881.958984375
1716287313012712014,-1.4992458745837212,0.12691481737419963,0.0,44539.5390625
1716287313022882034,4.204980880022049,-4.16661623865366,0.0,43672.34375
1716287313033513763,-1.3222888112068176,-3.1879234313964844,0.0,44935.6796875
1716287313043913626,-1.6338788531720638,-2.230864819139242,0.0,44804.525390625
1716287313054111235,5.04864189773798,2.9980743303894997,0.0,44383.4931640625
1716287313064998418,-4.368674419820309,-6.111211404204369,0.0,44244.904296875
1716287313075684089,3.1647682562470436,1.3150289095938206,0.0,44411.73828125
1716287313086515019,-0.5570889450609684,-2.065772842615843,0.0,44912.6533203125
1716287313094965280,2.629759255796671,0.204111747443676,0.0,44689.9443359375
1716287313107968022,-5.995790585875511,-6.275928542017937,0.0,43781.6650390625
1716287313117913746,8.69681864976883,4.139758944511414,0.0,44338.546875
1716287313128351643,-9.89942729473114,-3.8713687285780907,0.0,44859.30859375
1716287313138932144,0.06373045442160219,-6.029067412018776,0.0,43795.060546875
1716287313148483147,0.797504223883152,-2.644963189959526,0.0,44667.271484375
1716287313159783396,0.8553801756352186,-0.95109430141747,0.0,44359.8115234375
1716287313170042032,-3.223210573196411,-4.131829999387264,0.0,44870.837890625
1716287313179811236,-1.1651061661541462,-4.253704212605953,0.0,43517.6240234375
1716287313190929200,-7.31692872941494,-4.903051927685738,0.0,44613.23828125
1716287313201915444,3.1497351452708244,-4.2864690721035,0.0,44459.0576171875
1716287313211915200,-7.169263735413551,-4.742073453962803,0.0,44682.0146484375
1716287313222554972,-5.753343030810356,-6.196127459406853,0.0,43578.4931640625
1716287313233344734,-2.1783783473074436,-7.615163549780846,0.0,44848.4990234375
1716287313243530275,4.675153009593487,0.9489407390356064,0.0,44354.38671875
1716287313254370224,-8.398563712835312,-3.087148480117321,0.0,44539.5869140625
1716287313265260065,-2.151583582162857,-6.311761513352394,0.0,43793.4140625
1716287313275291498,3.491414710879326,4.2417217791080475,0.0,44043.283203125
1716287313285952347,-2.40444615483284,-5.3304968029260635,0.0,44876.712890625
1716287313296523634,0.8499607723206282,0.757896713912487,0.0,44536.0517578125
1716287313306422167,-4.143919721245766,0.5879504419863224,0.0,43389.4365234375
1716287313317182537,-2.3973247222602367,-2.60172413662076,0.0,44396.5498046875
1716287313327631783,-1.3743980135768652,-4.136205352842808,0.0,44719.498046875
1716287313337883044,-0.9086035005748272,-0.5941238394007087,0.0,43443.029296875
1716287313348758517,3.393332026898861,2.56858192384243,0.0,44245.5234375
1716287313359038583,-0.9189300891011953,-1.1527335550636053,0.0,44548.0517578125
1716287313369421881,3.4394338354468346,2.2245731949806213,0.0,44190.984375
1716287313380251407,6.562266424298286,3.028521090745926,0.0,43254.6630859375
1716287313390487861,-0.971306674182415,0.949569046497345,0.0,44556.84375
1716287313401168090,2.6148895919322968,4.832124933600426,0.0,43833.6533203125
1716287313411917935,0.19503138028085232,-2.535266876220703,0.0,44835.095703125
1716287313422459572,2.637662049382925,3.7712344899773598,0.0,43202.474609375
1716287313432977677,10.584511086344719,6.81248165667057,0.0,44001.779296875
1716287313443371881,-1.6876749135553837,0.9245467185974121,0.0,44622.8662109375
1716287313454091823,9.290169551968575,6.803509667515755,0.0,44009.4912109375
1716287313464065418,8.41673031449318,7.882171422243118,0.0,43249.998046875
1716287313472716735,-0.917758634313941,2.152992580085993,0.0,44477.578125
1716287313484648063,9.282796829938889,6.873962581157684,0.0,43934.7421875
1716287313495814026,1.7298566736280918,7.106548324227333,0.0,43279.54296875
1716287313506558439,-3.1059175729751587,0.6513240840286016,0.0,44455.076171875
1716287313517335508,3.0756283923983574,0.7315539848059416,0.0,44060.2734375
1716287313527365872,-0.37679684814065695,-1.5337097458541393,0.0,44608.79296875
1716287313538648078,4.63141456246376,6.736956015229225,0.0,43090.7119140625
1716287313549165048,7.436348050832748,3.8126524910330772,0.0,43873.236328125
1716287313559583893,-4.5499857142567635,1.380097959190607,0.0,44292.4482421875
1716287313570293416,7.952859699726105,1.3553647231310606,0.0,43995.6455078125
1716287313580951954,6.216141432523727,7.954070046544075,0.0,43105.8935546875
1716287313590882371,-0.7135375868529081,0.16000789124518633,0.0,44441.0185546875
1716287313601201876,5.728350877761841,4.455327205359936,0.0,43902.44921875
1716287313610124294,-2.3695556446909904,1.6236445493996143,0.0,44107.142578125
1716287313621353369,5.3795041143894196,3.5115524008870125,0.0,43120.2900390625
1716287313633407541,3.162846453487873,1.956765353679657,0.0,44125.8779296875
1716287313643580270,3.7650013715028763,4.237489923834801,0.0,44004.04296875
1716287313653681727,3.4059591963887215,2.802590411156416,0.0,44076.8701171875
1716287313664903843,4.894225113093853,9.0792815387249,0.0,43018.8857421875
1716287313675246351,3.7546758726239204,3.53103831410408,0.0,43901.3076171875
1716287313685453623,1.709393598139286,3.1176143512129784,0.0,44192.611328125
1716287313696398091,3.529963418841362,9.739402011036873,0.0,43145.8427734375
1716287313707025459,3.480916880071163,4.636359550058842,0.0,43897.5927734375
1716287313717136872,2.490521091967821,4.04851321130991,0.0,44008.5380859375
1716287313728270230,2.3379711247980595,4.283127374947071,0.0,43969.642578125
1716287313738786544,4.45459496229887,10.329694524407387,0.0,43103.3271484375
1716287313749593206,10.029963701963425,8.705309182405472,0.0,43568.8525390625
1716287313760784066,-2.5888708233833313,2.544824928045273,0.0,44341.8046875
1716287313770868847,8.930816575884819,7.297775074839592,0.0,43619.7724609375
1716287313781640683,5.767301917076111,12.965650856494904,0.0,43127.5771484375
1716287313789915463,-4.770416356623173,3.9730774238705635,0.0,44067.9873046875
