pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust
1715329913086968367,0.0486975833773613,0.0030858165118843317,0.1442827433347702,1715329913087882854,0.9999632239341736,0.000928942346945405,-0.0023077751975506544,-0.00808197446167469,1715329913091528141,0.012651349417865276,0.008222482167184353,0.0010541467927396297,1715329913086080617,-0.02760516293346882,-0.09407885372638702,0.12261620908975601,1715329913089603608,-0.0009076394489966333,0.00010976603516610339,-0.00023146036255639046,0.0,1715329913090594461,-0.6521540284156799,-1.5830761194229126,162.11817932128906,0.0
1715329913096593510,0.04873180389404297,0.003218672936782241,0.14433391392230988,1715329913097659594,0.9999633431434631,0.0009207201655954123,-0.002311334479600191,-0.008072048425674438,1715329913102175761,0.012802006676793098,0.008648541755974293,0.0013030658010393381,1715329913095695225,-0.18889933824539185,-0.24129383265972137,0.2032552808523178,1715329913100446554,-0.0002805823169182986,0.001569253858178854,0.0015480514848604798,0.0,1715329913101289349,-0.6464994549751282,-1.5855777263641357,161.91880798339844,0.0
1715329913107941894,0.04871659353375435,0.0031331281643360853,0.14431031048297882,1715329913109168886,0.9999634027481079,0.0009151419508270919,-0.002320829313248396,-0.008062386885285378,1715329913112393616,0.012809722684323788,0.008352569304406643,0.0011508126044645905,1715329913106750117,-0.04687713086605072,0.24690033495426178,-0.10745874047279358,1715329913110317281,-0.0004472398723009974,-0.004933604039251804,0.0022209312301129103,0.0,1715329913111447257,-0.6426977515220642,-1.5921494960784912,161.7249755859375,0.0
1715329913117397471,0.04870348051190376,0.0030904824379831553,0.14428791403770447,1715329913119538238,0.9999634623527527,0.0009170788107439876,-0.002304671099409461,-0.008058293722569942,1715329913123783242,0.012762672267854214,0.008399629034101963,0.0010497474577277899,1715329913116181458,0.00018773155170492828,-0.14045269787311554,0.07045260071754456,1715329913120465708,-0.0001423620997229591,0.0008176767732948065,0.0032128351740539074,0.0,1715329913122787120,-0.6439345479011536,-1.5810210704803467,161.6426544189453,0.0
1715329913126350638,0.04874473437666893,0.003232006449252367,0.14434218406677246,1715329913128259236,0.9999635219573975,0.0009103108895942569,-0.0023052298929542303,-0.008048041723668575,1715329913133128298,0.012865303084254265,0.00891147367656231,0.0014761025086045265,1715329913125493284,-0.1788606196641922,-0.0954170972108841,-0.04259181022644043,1715329913129452229,0.001127799740061164,0.003634752705693245,-0.0013155611231923103,0.0,1715329913131991965,-0.6392636299133301,-1.5814498662948608,161.436767578125,0.0
1715329913137542019,0.04876210540533066,0.003296651877462864,0.14436054229736328,1715329913138721318,0.9999635219573975,0.0009091374231502414,-0.002322939457371831,-0.008041447028517723,1715329913141789152,0.013074502348899841,0.009027713909745216,0.0015794201754033566,1715329913136550611,-0.20842495560646057,-0.3041163682937622,0.06130814924836159,1715329913139883142,-0.001001698081381619,0.0034152294974774122,0.0011981189018115401,0.0,1715329913140987682,-0.6385437250137329,-1.5936483144760132,161.30482482910156,0.0
1715329913147961401,0.04872891679406166,0.00317215034738183,0.14431709051132202,1715329913149469743,0.999963641166687,0.0009029212524183095,-0.0023306652437895536,-0.00802900642156601,1715329913152572024,0.01316646859049797,0.008599522523581982,0.0014049188466742635,1715329913146612154,-0.0396418571472168,-0.008409393951296806,-0.1025112122297287,1715329913150799900,-0.0007307059713639319,0.002546031028032303,-0.0004695443785749376,0.0,1715329913151730698,-0.634288489818573,-1.5990077257156372,161.05519104003906,0.0
1715329913157418786,0.04875781759619713,0.003265248378738761,0.14435529708862305,1715329913158389585,0.9999637007713318,0.0008961778949014843,-0.0023359295446425676,-0.008024073205888271,1715329913161858423,0.013482687994837761,0.008953417651355267,0.0017165899043902755,1715329913156376225,0.04511256143450737,-0.028076840564608574,-0.05435243248939514,1715329913159524524,0.0008980283164419234,0.0037015106063336134,-0.001018959330394864,0.0,1715329913160764472,-0.6296688318252563,-1.6026712656021118,160.95603942871094,0.0
1715329913166638658,0.04877670109272003,0.003313917899504304,0.14436934888362885,1715329913167749803,0.9999637603759766,0.0009002828155644238,-0.0023296659346669912,-0.008017403073608875,1715329913170949528,0.01369623001664877,0.009232382290065289,0.0016366811469197273,1715329913165781111,0.013704078271985054,0.44033679366111755,-0.12281717360019684,1715329913168768001,-0.0007380539318546653,-0.00428396463394165,-0.0014830161817371845,0.0,1715329913169970868,-0.6324485540390015,-1.5983418226242065,160.8223419189453,0.0
1715329913177233444,0.04866739735007286,0.0031334946397691965,0.14431124925613403,1715329913178202124,0.9999633431434631,0.000979383010417223,-0.002357825404033065,-0.008048495277762413,1715329913182536184,0.012908656150102615,0.008156976662576199,0.0011005813721567392,1715329913176336560,0.004933882970362902,0.1286894679069519,0.07357272505760193,1715329913179131228,3.17599879053887e-05,0.0007155700004659593,-0.0005399856599979103,0.0,1715329913181578358,-0.6870929002761841,-1.617263913154602,161.45013427734375,0.0
1715329913188455048,0.04862114414572716,0.0030491354409605265,0.1442907750606537,1715329913190194953,0.9999634027481079,0.0009774034842848778,-0.0023511049803346395,-0.008042074739933014,1715329913195806968,0.012485180981457233,0.007746098563075066,0.0009471406228840351,1715329913186836595,0.03882887214422226,0.10093008726835251,-0.04586109146475792,1715329913192958723,-0.0018153975252062082,-0.00035260937875136733,-0.0003007241466548294,0.0,1715329913194150984,-0.6856829524040222,-1.6126539707183838,161.32115173339844,0.0
