pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust,motor.time,motor.m1,motor.m2,motor.m3,motor.m4
1715594429552697869,-0.54094398021698,-0.02048635110259056,0.12544333934783936,1715594429553912202,0.999996542930603,0.002073922660201788,-0.00012375898950267583,-0.0007679119007661939,1715594429547428125,0.0015636113239452243,0.00753701850771904,0.00026160068227909505,1715594429551628430,0.14291419088840485,0.023339685052633286,0.00309586338698864,1715594429547424603,-0.0018576441798359156,0.004027803894132376,-0.0013432910200208426,0.0,1715594429547417400,-1.4285917282104492,-0.07328509539365768,15.282443046569824,0.0,1715594429547841746,0.0,0.0,0.0,0.0
1715594429561950446,-0.5409365892410278,-0.020471177995204926,0.12544965744018555,1715594429563212491,0.999996542930603,0.0020732558332383633,-0.000135999740450643,-0.0007671979838050902,1715594429557475144,0.0015829525655135512,0.007608933839946985,0.0005066248122602701,1715594429561267691,0.04827914014458656,-0.13988514244556427,-0.10600835084915161,1715594429554824984,0.00016983065870590508,-0.0005537369870580733,-0.0008393617463298142,0.0,1715594429556524084,-1.427417516708374,-0.08407913148403168,15.404467582702637,0.0,1715594429558421529,0.0,0.0,0.0,0.0
1715594429571474441,-0.5409321188926697,-0.020468365401029587,0.1254541575908661,1715594429573357928,0.999996542930603,0.0020735652651637793,-0.00014104470028541982,-0.0007670993800275028,1715594429567003293,0.0016294566448777914,0.007619732059538364,0.0004700409190263599,1715594429570486851,0.05172635614871979,-0.00030896509997546673,0.017674261704087257,1715594429564108479,0.0019789470825344324,0.0012318764347583055,0.0006903538596816361,0.0,1715594429566038840,-1.4269647598266602,-0.09250500053167343,15.390657424926758,0.0,1715594429567950405,0.0,0.0,0.0,0.0
1715594429582303593,-0.5409265756607056,-0.020464157685637474,0.12545785307884216,1715594429583408130,0.999996542930603,0.0020681105088442564,-0.00014485690917354077,-0.0007629527826793492,1715594429576650094,0.0018562892219051719,0.00772774638608098,0.0004676912212744355,1715594429581412049,-0.09216628968715668,0.03881097212433815,-0.2540353536605835,1715594429574693450,-0.0006706615095026791,0.00022090198763180524,0.0014425439294427633,0.0,1715594429575784743,-1.427180528640747,-0.09597709774971008,15.388893127441406,0.0,1715594429579263778,0.0,0.0,0.0,0.0
1715594429592541806,-0.5409203171730042,-0.020458387210965157,0.12546269595623016,1715594429594100608,0.999996542930603,0.0020688523072749376,-0.00013052790018264204,-0.0007645695586688817,1715594429587136303,0.0020365866366773844,0.007841951213777065,0.0007086791447363794,1715594429591546246,-0.035361792892217636,0.0584334172308445,-0.017418742179870605,1715594429584499467,-0.0007554251933470368,-0.0033444100990891457,-0.002072269795462489,0.0,1715594429585372391,-1.423427939414978,-0.09860958158969879,15.30588150024414,0.0,1715594429588109010,0.0,0.0,0.0,0.0
1715594429602925327,-0.540922999382019,-0.020466811954975128,0.12546253204345703,1715594429604730282,0.999996542930603,0.0020710667595267296,-0.00014533232024405152,-0.0007661067647859454,1715594429597076723,0.001920275273732841,0.007822984829545021,0.000721049786079675,1715594429601753288,0.24365253746509552,-0.24110691249370575,-0.09626594185829163,1715594429595238977,-0.002340015023946762,0.0019435795256868005,0.00042564189061522484,0.0,1715594429596163641,-1.4239311218261719,-0.08874516189098358,15.337711334228516,0.0,1715594429598124135,0.0,0.0,0.0,0.0
1715594429612257208,-0.5409241914749146,-0.02046895958483219,0.12545746564865112,1715594429613283412,0.999996542930603,0.002069879788905382,-0.00014469842426478863,-0.0007590777822770178,1715594429607676396,0.0019075972959399223,0.007656686473637819,0.0006657270132564008,1715594429610511476,-0.1353866010904312,0.030787810683250427,0.042487677186727524,1715594429605800773,0.0032886203844100237,0.00307362899184227,-0.00011807621194748208,0.0,1715594429606731834,-1.4254629611968994,-0.0989307090640068,15.369157791137695,0.0,1715594429608654491,0.0,0.0,0.0,0.0
1715594429623272474,-0.5409241914749146,-0.02046895958483219,0.12545746564865112,1715594429625828871,0.9999966025352478,0.002064142841845751,-0.00014053531049285084,-0.0007620492251589894,1715594429617705032,0.0019836716819554567,0.007600087672472,0.0006484187906607985,1715594429622408760,-0.07480479031801224,0.327251136302948,-0.09645313024520874,1715594429615415246,-0.0022294309455901384,0.0010338708525523543,0.00011839520448120311,0.0,1715594429616512084,-1.424645185470581,-0.09850509464740753,15.22817325592041,0.0,1715594429618701505,0.0,0.0,0.0,0.0
1715594429632952582,-0.5409214496612549,-0.02046182192862034,0.1254490166902542,1715594429634079867,0.9999966025352478,0.002064142841845751,-0.00014053531049285084,-0.0007620492251589894,1715594429629157546,0.0021004602313041687,0.007629971951246262,0.00048561490257270634,1715594429631870087,0.09527908265590668,0.03342669457197189,0.0440029613673687,1715594429627331226,-0.0010196547955274582,-0.0041585578583180904,-0.0019445496145635843,0.0,1715594429628053880,-1.4206948280334473,-0.09563867002725601,15.289608001708984,0.0,1715594429630098270,0.0,0.0,0.0,0.0
1715594429642446871,-0.5409395694732666,-0.020542001351714134,0.12544362246990204,1715594429644327471,0.9999966025352478,0.002059685066342354,-0.00013731296348851174,-0.0007613817579112947,1715594429638109638,0.002099545206874609,0.007369086612015963,0.0005099434056319296,1715594429641542700,0.07898678630590439,-0.2725989818572998,-0.06415515393018723,1715594429636161952,0.0018519263248890638,0.00014105450827628374,0.003705871757119894,0.0,1715594429637270449,-1.4206948280334473,-0.09563867002725601,15.28757095336914,0.0,1715594429639718167,0.0,0.0,0.0,0.0
1715594429652740465,-0.5409187078475952,-0.02047032304108143,0.12544889748096466,1715594429653971321,0.9999966025352478,0.0020614725071936846,-0.00014655920676887035,-0.0007636400405317545,1715594429648414839,0.002135651418939233,0.007195095997303724,0.0005716168088838458,1715594429651845552,-0.008325363509356976,0.0873163715004921,-0.12073852121829987,1715594429646056974,0.002408920554444194,0.0037607590202242136,-0.0008222120231948793,0.0,1715594429647347156,-1.417625069618225,-0.0934242308139801,15.274042129516602,0.0,1715594429649413917,0.0,0.0,0.0,0.0
1715594429662812995,-0.5409199595451355,-0.020471923053264618,0.12545013427734375,1715594429663789589,0.9999966025352478,0.0020614725071936846,-0.00014655920676887035,-0.0007636400405317545,1715594429658579028,0.002048638416454196,0.007160822860896587,0.0006679181242361665,1715594429661806457,0.2608240842819214,-0.16655540466308594,-0.021614622324705124,1715594429654979296,0.0017666888888925314,-0.0025304157752543688,-0.0003823058505076915,0.0,1715594429657471708,-1.4186688661575317,-0.10589078068733215,15.266430854797363,0.0,1715594429659547622,0.0,0.0,0.0,0.0
1715594429674124801,-0.540978193283081,-0.02050459198653698,0.1254129558801651,1715594429675588772,0.999996542930603,0.0020795846357941628,-0.00015024867025204003,-0.0007613960769958794,1715594429669144294,0.0018599779577925801,0.007066643796861172,0.0007010305416770279,1715594429673168429,0.021704362705349922,0.12123806029558182,-0.05757948011159897,1715594429665184889,0.002731800079345703,0.0004744074249174446,0.0013119532959535718,0.0,1715594429667391875,-1.43132746219635,-0.10231656581163406,15.273386001586914,0.0,1715594429670825423,0.0,0.0,0.0,0.0
1715594429684573707,-0.5409470796585083,-0.020478900521993637,0.12543632090091705,1715594429685437416,0.999996542930603,0.0020806067623198032,-0.00014250975800678134,-0.0007526677218265831,1715594429680585974,0.0018599779577925801,0.007066643796861172,0.0007010305416770279,1715594429683298218,0.021537505090236664,-0.10825032740831375,0.039465297013521194,1715594429678128631,-0.0003487022186163813,1.562004763400182e-05,0.0032390623819082975,0.0,1715594429679285426,-1.43132746219635,-0.10231656581163406,15.274922370910645,0.0,1715594429681690860,0.0,0.0,0.0,0.0
