pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust
1715249132261256631,0.02901896834373474,-0.01785813271999359,0.023119555786252022,1715249132253005506,-0.21222694218158722,-0.005658454727381468,0.002400962170213461,0.9772000312805176,1715249132259299130,-0.05057775601744652,-0.006898894906044006,-0.00012232910376042128,1715249132260136929,0.11214105039834976,-0.07592836022377014,-0.052191395312547684,1715249132256123411,-0.0024171690456569195,0.0013043866492807865,0.001965586794540286,0.0,1715249132257815788,-2.438994884490967,3.450768232345581,-0.0,0.0
1715249132271609525,0.02924893982708454,-0.017819518223404884,0.023105822503566742,1715249132266398852,-0.21223704516887665,-0.0056518265046179295,0.0023987863678485155,0.9771978855133057,1715249132269680102,-0.05092168226838112,-0.006781155709177256,-0.0001539248478366062,1715249132270752638,-0.085716113448143,0.053386345505714417,0.09038741141557693,1715249132267363554,0.002622101688757539,0.004868576768785715,0.0010335487313568592,0.0,1715249132268251939,-2.4661879539489746,3.492780923843384,-0.0,0.0
1715249132282625937,0.029110778123140335,-0.017834842205047607,0.023129185661673546,1715249132272636684,-0.21320946514606476,-0.005722275003790855,0.002418741350993514,0.9769856929779053,1715249132280058970,-0.05197027698159218,-0.006753698922693729,-2.2007558072800748e-05,1715249132281128342,0.12997958064079285,-0.4368840456008911,-0.01795436628162861,1715249132276169674,0.0016665986040607095,0.0020512952469289303,0.0001989283482544124,0.0,1715249132278571619,-2.4772400856018066,3.5239124298095703,-0.0,0.0
1715249132293012467,0.02933378331363201,-0.01781250350177288,0.02310217171907425,1715249132283618772,-0.21321530640125275,-0.005769906099885702,0.002424748847261071,0.9769841432571411,1715249132289627324,-0.05036260560154915,-0.00651618093252182,-0.0003057008725591004,1715249132292049817,-0.117913156747818,-0.19156111776828766,-0.0950876846909523,1715249132288135135,0.0016975103644654155,0.0029062675312161446,-0.0022490050178021193,0.0,1715249132288694030,-2.4772400856018066,3.5239124298095703,-0.0,0.0
1715249132304225466,0.029425961896777153,-0.01780424453318119,0.023097699508070946,1715249132295605651,-0.21322312951087952,-0.005649262573570013,0.002426040591672063,0.9769831895828247,1715249132301791096,-0.04974120855331421,-0.006358948070555925,-0.00041115906788036227,1715249132302994882,0.04166772961616516,-0.21399104595184326,-0.13050079345703125,1715249132297940904,0.0009090810199268162,0.0005898200324736536,-0.005015828181058168,0.0,1715249132299054076,-2.4604265689849854,3.4425811767578125,-0.0,0.0
1715249132312035726,0.029451468959450722,-0.017802644520998,0.02309156395494938,1715249132305438112,-0.2132234275341034,-0.00559511873871088,0.0024249013513326645,0.9769834280014038,1715249132309679303,-0.0492735393345356,-0.006265409290790558,-0.00031877984292805195,1715249132310829477,0.177235409617424,0.16184942424297333,0.14351561665534973,1715249132306556514,0.0003075769927818328,0.001414010883308947,-0.0001381311158183962,0.0,1715249132308543767,-2.450157642364502,3.379704713821411,-0.0,0.0
1715249132323225678,0.029490485787391663,-0.01779896952211857,0.023082513362169266,1715249132313490033,-0.21322225034236908,-0.005556821823120117,0.002430954249575734,0.976983904838562,1715249132320201517,-0.0492735393345356,-0.006265409290790558,-0.00031877984292805195,1715249132321294426,0.0031010096427053213,0.20376035571098328,0.12154407054185867,1715249132315437249,4.838968743570149e-05,0.004100418649613857,-0.001064138486981392,0.0,1715249132319640619,-2.450157642364502,3.379704713821411,-0.0,0.0
1715249132333188048,0.029502667486667633,-0.01778298243880272,0.02309276908636093,1715249132324351983,-0.21323524415493011,-0.005543084815144539,0.0024365070275962353,0.9769811034202576,1715249132329964997,-0.04888381436467171,-0.006183870602399111,-6.835011299699545e-05,1715249132331587605,0.0418098084628582,0.04395465552806854,0.030188672244548798,1715249132326617210,0.001531287096440792,0.004269248340278864,-0.0006277835345827043,0.0,1715249132329250840,-2.45660138130188,3.3661954402923584,-0.0,0.0
1715249132342479360,0.02951681613922119,-0.01778603531420231,0.023077480494976044,1715249132334485826,-0.21324612200260162,-0.005539700388908386,0.0024441524874418974,0.9769787192344666,1715249132340220721,-0.04888381436467171,-0.006183870602399111,-6.835011299699545e-05,1715249132341359582,0.13223500549793243,0.21736083924770355,-0.06581596285104752,1715249132336981609,-0.0018685564864426851,0.0010098053608089685,-0.0012756404466927052,0.0,1715249132339246493,-2.45660138130188,3.3661954402923584,-0.0,0.0
1715249132352204081,0.029521098360419273,-0.017787834629416466,0.023082520812749863,1715249132343464149,-0.21325986087322235,-0.005532857961952686,0.0024446931201964617,0.9769757986068726,1715249132349238047,-0.050137799233198166,-0.006122555583715439,6.079155718907714e-05,1715249132351117375,0.06411140412092209,-0.08218540996313095,-0.08020788431167603,1715249132347480902,0.0013298605335876346,0.004318004008382559,-0.0006088139489293098,0.0,1715249132348580149,-2.4581637382507324,3.364820957183838,-0.0,0.0
1715249132362502399,0.02952287159860134,-0.017784183844923973,0.023078905418515205,1715249132353791480,-0.21326982975006104,-0.005538388155400753,0.0024530740920454264,0.9769735336303711,1715249132360379532,-0.05016416311264038,-0.0060828374698758125,3.709645534399897e-05,1715249132361437827,0.016753733158111572,-0.277756929397583,0.11444120854139328,1715249132356788713,-0.0023607814218848944,-0.0004886022652499378,0.0009400489507243037,0.0,1715249132359390080,-2.4583373069763184,3.364130973815918,-0.0,0.0
