pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust
1715320647496556641,0.03821922093629837,-0.013573583215475082,0.02351597137749195,1715320647497935122,0.9999973177909851,0.00016368603974115103,-0.0018200493650510907,-8.536427048966289e-05,1715320647501726215,0.01839574985206127,0.008049648255109787,-0.0003868862404488027,1715320647495655328,0.09920983761548996,-0.12768016755580902,-0.06166838854551315,1715320647499603652,0.0011744145303964615,0.0029011815786361694,-0.0005628641811199486,0.0,1715320647500710953,-0.11276237666606903,-1.2526148557662964,1.7178386449813843,0.0
1715320647506330045,0.03820924460887909,-0.013580461964011192,0.02352060377597809,1715320647507324380,0.9999973177909851,0.00016368603974115103,-0.0018200493650510907,-8.536427048966289e-05,1715320647510629597,0.01835855469107628,0.00783330388367176,-0.00021380619728006423,1715320647505277499,-0.03866555541753769,-0.12079596519470215,-0.020751120522618294,1715320647508202906,-0.0016008198726922274,0.00031080935150384903,-0.0008901863475330174,0.0,1715320647509675676,-0.11581782251596451,-1.255710482597351,1.5775811672210693,0.0
1715320647516918688,0.03820091858506203,-0.013584156520664692,0.023518642410635948,1715320647517864527,0.9999973177909851,0.00017026509158313274,-0.0018256641924381256,-8.256543515017256e-05,1715320647521396328,0.01823883131146431,0.007624513935297728,-0.0003453628742136061,1715320647514174837,0.03504849597811699,0.016130320727825165,-0.13337442278862,1715320647518884351,-0.0024232338182628155,-0.0011644229525700212,-0.0018661723006516695,0.0,1715320647520221247,-0.11728716641664505,-1.256479263305664,1.6619712114334106,0.0
1715320647526482947,0.03821435198187828,-0.013579129241406918,0.023517856374382973,1715320647527501424,0.9999973177909851,0.00017026509158313274,-0.0018256641924381256,-8.256543515017256e-05,1715320647531831630,0.018139012157917023,0.007473609410226345,-0.0003792311472352594,1715320647525322473,0.2681242525577545,-0.32216617465019226,0.01691300794482231,1715320647528764749,0.0036539214197546244,0.00397034315392375,0.0009744208073243499,0.0,1715320647529827277,-0.1206575557589531,-1.2641412019729614,1.738149642944336,0.0
1715320647536556564,0.03820192813873291,-0.01359143853187561,0.023514388129115105,1715320647538348371,0.9999973177909851,0.00017208060307893902,-0.0018368263263255358,-8.875187631929293e-05,1715320647541208679,0.01814570650458336,0.007521572522819042,-0.000331920018652454,1715320647534503509,0.059421196579933167,-0.13755089044570923,0.015696639195084572,1715320647539262037,-0.00010267688776366413,0.00278673623688519,0.0003006417828146368,0.0,1715320647539962019,-0.11854513734579086,-1.2641605138778687,1.7861369848251343,0.0
1715320647546176189,0.03820250183343887,-0.013596854172647,0.023510057479143143,1715320647547561944,0.9999973177909851,0.00017208060307893902,-0.0018368263263255358,-8.875187631929293e-05,1715320647550932138,0.01816146820783615,0.007546676322817802,-0.00040470503154210746,1715320647543828829,0.06183949485421181,0.37357622385025024,-0.05594515800476074,1715320647548466603,-0.00022648682352155447,-0.006125470623373985,0.0016863320488482714,0.0,1715320647549735183,-0.11911813169717789,-1.2571333646774292,1.8899760246276855,0.0
1715320647556744618,0.03819933533668518,-0.013605532236397266,0.02350589819252491,1715320647558837845,0.9999973177909851,0.00017290492542088032,-0.0018266168190166354,-9.375849913340062e-05,1715320647562924981,0.018308289349079132,0.007691428530961275,-0.0006947235087864101,1715320647555954139,-0.04456178843975067,0.24704335629940033,0.07418926805257797,1715320647559824216,-0.0007828266243450344,-0.0038837853353470564,0.002919742139056325,0.0,1715320647560990305,-0.11510009318590164,-1.248801350593567,1.8087822198867798,0.0
1715320647566037088,0.03820371255278587,-0.01361322682350874,0.023497741669416428,1715320647567165001,0.9999973773956299,0.0001670747296884656,-0.0018145095091313124,-9.002260776469484e-05,1715320647571065109,0.017603587359189987,0.007527995854616165,-0.0007528586429543793,1715320647564162805,0.08646485954523087,0.09602516144514084,0.07274262607097626,1715320647568859714,-0.0004345399793237448,0.001514741568826139,0.0008901066612452269,0.0,1715320647569971690,-0.11510009318590164,-1.248801350593567,1.8113603591918945,0.0
1715320647576594313,0.03810460492968559,-0.013654239475727081,0.023490222170948982,1715320647577748416,0.9999972581863403,0.0001912220468511805,-0.0018622608622536063,-8.574414096074179e-05,1715320647581920041,0.018058687448501587,0.007776279468089342,-0.0006910782540217042,1715320647575250600,-0.07748345285654068,0.07858669757843018,0.17476578056812286,1715320647578784382,-0.0032993778586387634,-0.0043611591681838036,0.0025760962162166834,0.0,1715320647580685443,-0.128571555018425,-1.2792422771453857,1.5521512031555176,0.0
1715320647586873197,0.03815702348947525,-0.013627867214381695,0.023485304787755013,1715320647588012685,0.9999972581863403,0.0001866680249804631,-0.0018587392987683415,-7.734148675808683e-05,1715320647591718205,0.01757846772670746,0.007548547815531492,-0.0006501635652966797,1715320647584597900,-0.09564030170440674,0.11305121332406998,-0.17658664286136627,1715320647589297269,-0.0005342746153473854,-0.00033706676913425326,-0.003965165000408888,0.0,1715320647590508846,-0.128571555018425,-1.2792422771453857,1.557936668395996,0.0
