pos.x,pos.y,pos.z
-0.008233842439949512,0.022012487053871155,0.9834293723106384
-0.00809106882661581,0.022300077602267265,0.9834701418876648
-0.008054055273532867,0.022271210327744484,0.9833498597145081
-0.00821246113628149,0.02233789674937725,0.9835876822471619
-0.008096573874354362,0.022206822410225868,0.983451783657074
-0.008288806304335594,0.02223212830722332,0.983029305934906
-0.008558697067201138,0.022269777953624725,0.9825530648231506
-0.008809993043541908,0.022154372185468674,0.9816557168960571
-0.009059793315827847,0.02216806821525097,0.9807168841362
-0.009194980375468731,0.02227134443819523,0.979680061340332
-0.009345673024654388,0.022472631186246872,0.9780049324035645
-0.009547529742121696,0.022889701649546623,0.9744940996170044
-0.009550483897328377,0.02332659438252449,0.970973551273346
-0.009370792657136917,0.02385968528687954,0.9653335809707642
-0.009190995246171951,0.02427971363067627,0.9585918188095093
-0.00886954553425312,0.024504775181412697,0.9497383832931519
-0.008695056661963463,0.02448318712413311,0.9417048692703247
-0.00882424134761095,0.02427208609879017,0.9337804913520813
-0.009094158187508583,0.023823516443371773,0.9234172105789185
-0.009595992974936962,0.02309453673660755,0.912909746170044
-0.010673177428543568,0.02160300873219967,0.8976725339889526
-0.011879709549248219,0.020069696009159088,0.884842038154602
-0.0136414198204875,0.017926940694451332,0.8670657873153687
-0.015090573579072952,0.016029542312026024,0.8521592617034912
-0.016963891685009003,0.01357812900096178,0.833564281463623
-0.018826119601726532,0.011104210279881954,0.8152021765708923
-0.02045867033302784,0.009020439349114895,0.7982392907142639
-0.022597432136535645,0.0058778030797839165,0.7743189334869385
-0.024328822270035744,0.0033215873409062624,0.7546010613441467
-0.026554135605692863,-0.0003189140115864575,0.7280398607254028
-0.028253883123397827,-0.0033531878143548965,0.7058314085006714
-0.030171353369951248,-0.006851314101368189,0.6801109313964844
-0.03196423500776291,-0.01025971956551075,0.6549475789070129
-0.03417794778943062,-0.01351858489215374,0.630273699760437
-0.036071620881557465,-0.01747707463800907,0.5987508296966553
-0.037414781749248505,-0.02042117714881897,0.5740535855293274
-0.03894134610891342,-0.02396082691848278,0.5449011325836182
-0.04018175229430199,-0.02711888961493969,0.5177209377288818
-0.041196558624506,-0.029840677976608276,0.4945026636123657
