pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust,motor.time,motor.m1,motor.m2,motor.m3,motor.m4,motor_req.time,motor_req.m1,motor_req.m2,motor_req.m3,motor_req.m4
1705821699724156709,1.323297381401062,-0.09331788122653961,0.01977429911494255,1705821699725120142,0.9953467845916748,-0.026017487049102783,-0.0014617439592257142,-0.0927562266588211,1705821699718581196,-0.024744845926761627,-0.014517341740429401,0.00047224649460986257,1705821699723346546,0.24735791981220245,0.2858741581439972,0.002289219992235303,1705821699726169950,0.002795433159917593,-0.0015846331370994449,0.0004929108545184135,0.0,1705821699716620848,17.71770477294922,-2.6357147693634033,0.0,0.0,1705821699720988288,0.0,0.0,0.0,0.0,1705821699722555281,0.0,0.0,0.0,0.0
1705821699735057573,1.323089361190796,-0.09335305541753769,0.019926227629184723,1705821699735983479,0.9953510761260986,-0.025997139513492584,-0.001498226192779839,-0.09271501004695892,1705821699727918212,-0.025476310402154922,-0.014860653318464756,0.000357104348950088,1705821699733895482,-0.09343598783016205,0.2292460948228836,-0.14304694533348083,1705821699736815992,-0.0021965596824884415,-0.000509518024045974,-0.0007058388437144458,0.0,1705821699727046305,17.737977981567383,-2.6622824668884277,0.0,0.0,1705821699731585013,0.0,0.0,0.0,0.0,1705821699733071326,0.0,0.0,0.0,0.0
1705821699743133081,1.3232088088989258,-0.09333018958568573,0.0198348481208086,1705821699744768423,0.9953510761260986,-0.026034196838736534,-0.001486477442085743,-0.0927051454782486,1705821699739115796,-0.025633152574300766,-0.01444872748106718,0.0010004225187003613,1705821699742308759,0.08484233915805817,-0.07737354934215546,-0.09188064932823181,1705821699746052858,0.00035514033515937626,-0.002040719846263528,-0.0030057565309107304,0.0,1705821699738343206,17.721817016601562,-2.6852426528930664,0.0,0.0,1705821699739952297,0.0,0.0,0.0,0.0,1705821699741485622,0.0,0.0,0.0,0.0
1705821699753825309,1.3232671022415161,-0.09332095086574554,0.01978837512433529,1705821699754746768,0.995351254940033,-0.026059437543153763,-0.0015003207372501493,-0.09269566088914871,1705821699748661079,-0.02539919503033161,-0.014268443919718266,0.00042806658893823624,1705821699752957126,0.09730839729309082,-0.0235463734716177,-0.1608247011899948,1705821699757977295,-0.0007536206976510584,0.0029728738591074944,-0.0010774899274110794,0.0,1705821699747066013,17.747995376586914,-2.679382085800171,0.0,0.0,1705821699751130497,0.0,0.0,0.0,0.0,1705821699752228075,0.0,0.0,0.0,0.0
1705821699764172547,1.3230124711990356,-0.09346433728933334,0.019790006801486015,1705821699766039255,0.9953595399856567,-0.02603493258357048,-0.0014959709951654077,-0.09261412918567657,1705821699760725850,-0.025155140087008476,-0.014063291251659393,0.0002075528900604695,1705821699763314735,0.01716863363981247,0.029558483511209488,0.07738600671291351,1705821699767703688,-0.0021075434051454067,0.003148044692352414,0.0018326705321669579,0.0,1705821699759861270,17.764442443847656,-2.6903061866760254,0.0,0.0,1705821699761599857,0.0,0.0,0.0,0.0,1705821699762453614,0.0,0.0,0.0,0.0
1705821699773980203,1.3230408430099487,-0.09345309436321259,0.019765174016356468,1705821699778725272,0.9953603744506836,-0.026065265759825706,-0.0015194836305454373,-0.09259610623121262,1705821699770106698,-0.025139667093753815,-0.013982819393277168,2.4043969460763037e-05,1705821699772889292,0.08209031075239182,0.12750430405139923,-0.07809147238731384,1705821699779995950,0.0011768938275054097,0.0008330341661348939,-0.00047253392403945327,0.0,1705821699769207661,17.782100677490234,-2.7015585899353027,1.60671865940094,0.0,1705821699771023486,0.0,0.0,0.0,0.0,1705821699771966967,0.0,0.0,0.0,0.0
1705821699785518915,1.3227713108062744,-0.0933242067694664,0.019685931503772736,1705821699786447728,0.9953692555427551,-0.026032833382487297,-0.0015195624437183142,-0.09250972419977188,1705821699781906404,-0.02614693157374859,-0.013784162700176239,-0.0003585737431421876,1705821699784565772,-0.341808021068573,-0.36181819438934326,-0.058292586356401443,1705821699787589654,-0.0028370502404868603,0.0038888866547495127,0.0010418399469926953,0.0,1705821699781137694,17.767488479614258,-2.702029228210449,0.0,0.0,1705821699782782933,0.0,0.0,0.0,0.0,1705821699783715497,0.0,0.0,0.0,0.0
1705821699795642173,1.322866439819336,-0.09321316331624985,0.01946946047246456,1705821699796458176,0.9953701496124268,-0.02607865445315838,-0.0015259485226124525,-0.09248720109462738,1705821699791046754,-0.025838559493422508,-0.013429801911115646,-0.001161371124908328,1705821699794531775,-0.14346539974212646,-0.006762204226106405,0.05613093078136444,1705821699797654479,-0.0028527744580060244,-0.00011436124623287469,-0.0012994844000786543,0.0,1705821699789980860,17.780324935913086,-2.6928513050079346,1.4900295734405518,0.0,1705821699791905152,0.0,0.0,0.0,0.0,1705821699793644800,0.0,0.0,0.0,0.0
1705821699805782509,1.3226838111877441,-0.09321095794439316,0.01954203099012375,1705821699806681972,0.9953794479370117,-0.026064619421958923,-0.0015212057624012232,-0.09239081293344498,1705821699800764027,-0.026461591944098473,-0.013548321090638638,-0.0006760635296814144,1705821699804922015,0.1488553136587143,0.17247475683689117,-0.1029624417424202,1705821699807479525,0.004473251756280661,-0.0017402026569470763,-0.00025761403958313167,0.0,1705821699799476502,17.776552200317383,-2.705366849899292,0.0,0.0,1705821699803207497,0.0,0.0,0.0,0.0,1705821699804073357,0.0,0.0,0.0,0.0
1705821699815184885,1.3228691816329956,-0.09332884103059769,0.019643772393465042,1705821699816075000,0.9953807592391968,-0.02606220915913582,-0.0014958038227632642,-0.09237803518772125,1705821699809653635,-0.026062065735459328,-0.013893432915210724,-0.00016595014312770218,1705821699814371613,0.07942196726799011,-0.5900329351425171,0.05069278925657272,1705821699816951589,0.0012528692604973912,0.0030779382213950157,0.0007682272116653621,0.0,1705821699808517402,17.767494201660156,-2.6995046138763428,0.0,0.0,1705821699810868063,0.0,0.0,0.0,0.0,1705821699813379322,0.0,0.0,0.0,0.0
