pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust,motor.time,motor.m1,motor.m2,motor.m3,motor.m4
1705581251398320686,0.005625484511256218,-0.010020210407674313,0.01621287688612938,1705581251399210933,0.9999399185180664,-0.001631506602279842,0.0005062411073595285,-0.01073706429451704,1705581251402379445,0.0038523392286151648,0.00633282633498311,-0.0016702397260814905,1705581251397533883,-0.0016070690471678972,0.2945222854614258,0.05148403346538544,1705581251400045810,0.0008015995845198631,-0.003177304519340396,-0.00026147827156819403,0.0,1705581251401570579,1.126541256904602,0.336336612701416,0.0,0.0,1705581251396030827,0.0,0.0,0.0,0.0
1705581251408483645,0.0056413705460727215,-0.010021519847214222,0.01619725674390793,1705581251409997483,0.999940037727356,-0.0016419455641880631,0.0005141892470419407,-0.010725855827331543,1705581251412705976,0.00400952436029911,0.006547503639012575,-0.0017583102453500032,1705581251406277323,-0.01579299382865429,0.35152196884155273,-0.09152289479970932,1705581251410808552,0.0014368542470037937,-0.004327935166656971,-0.00256350077688694,0.0,1705581251411581299,1.1337801218032837,0.3417420983314514,0.0,0.0,1705581251405455309,0.0,0.0,0.0,0.0
1705581251418117489,0.005650186445564032,-0.01001979410648346,0.016187606379389763,1705581251418984610,0.9999399781227112,-0.0016384832561016083,0.0005368675338104367,-0.010727808810770512,1705581251422246047,0.003917986061424017,0.006707925349473953,-0.001840108772739768,1705581251416602860,-0.035151273012161255,-0.0008248977828770876,0.19558659195899963,1705581251420577341,0.0005892816698178649,0.007735257036983967,-0.0015226962277665734,0.0,1705581251421410207,1.1315655708312988,0.35737255215644836,0.0,0.0,1705581251415809160,0.0,0.0,0.0,0.0
1705581251428833690,0.005650018807500601,-0.01001512911170721,0.016178768128156662,1705581251429750056,0.9999400973320007,-0.0016391656827181578,0.0005356416222639382,-0.010714123956859112,1705581251432558059,0.003796282224357128,0.006749350111931562,-0.0018792141927406192,1705581251427937614,-0.04845861718058586,-0.18312464654445648,-0.11543723195791245,1705581251430702823,-0.0023266258649528027,0.006122205406427383,-0.005538171622902155,0.0,1705581251431628489,1.132021427154541,0.35653936862945557,0.0,0.0,1705581251427046097,0.0,0.0,0.0,0.0
1705581251440746724,0.005648976191878319,-0.010014939121901989,0.016172830015420914,1705581251441721387,0.999940037727356,-0.0016426951624453068,0.0005189865478314459,-0.010721535421907902,1705581251446237444,0.0039978791028261185,0.00690464349463582,-0.0019711856730282307,1705581251439836676,0.03495402634143829,-0.13345585763454437,-0.14492306113243103,1705581251442680923,-0.00342001486569643,0.0012346375733613968,-0.007493723649531603,0.0,1705581251443916611,1.1343300342559814,0.345042884349823,0.0,0.0,1705581251438890132,0.0,0.0,0.0,0.0
1705581251450126573,0.005630599334836006,-0.010015735402703285,0.016205523163080215,1705581251451101282,0.9999399781227112,-0.0016523342346772552,0.0005048234015703201,-0.010728983208537102,1705581251454083084,0.004102807492017746,0.0067839715629816055,-0.001894140150398016,1705581251449149909,0.17358465492725372,0.06814073771238327,-0.08585052937269211,1705581251452103836,0.003625765210017562,-0.0009825240122154355,-0.0022677655797451735,0.0,1705581251453184294,1.1408616304397583,0.33521631360054016,0.0,0.0,1705581251447309052,0.0,0.0,0.0,0.0
1705581251460057697,0.005647491198033094,-0.010012810118496418,0.016186170279979706,1705581251461370730,0.9999398589134216,-0.0016499437624588609,0.0005115132662467659,-0.01073665451258421,1705581251464582573,0.00426065269857645,0.006856456398963928,-0.0019929136615246534,1705581251458900796,0.030169768258929253,-0.060165658593177795,-0.12997768819332123,1705581251462718366,-0.002915546763688326,0.0009691065060906112,-0.0010533288586884737,0.0,1705581251463648405,1.1392685174942017,0.33982911705970764,0.0,0.0,1705581251456993841,0.0,0.0,0.0,0.0
1705581251469712550,0.0056519536301493645,-0.01001641433686018,0.016179827973246574,1705581251470716392,0.9999398589134216,-0.0016526649706065655,0.0005064366851001978,-0.010739894583821297,1705581251474072937,0.0044076768681406975,0.006918441969901323,-0.002152279019355774,1705581251468793541,-0.06562011688947678,0.14124611020088196,-0.01650388166308403,1705581251471713523,-0.0017626233166083694,0.00018256551993545145,0.0027468542102724314,0.0,1705581251472665052,1.141104817390442,0.3363116681575775,0.0,0.0,1705581251467888446,0.0,0.0,0.0,0.0
1705581251480529871,0.0056328680366277695,-0.010050857439637184,0.0161842443048954,1705581251481495793,0.9999399781227112,-0.0016590586164966226,0.000512750237248838,-0.010728876106441021,1705581251484319569,0.004336876794695854,0.006779417395591736,-0.001997916493564844,1705581251477942638,-0.049623753875494,0.09694017469882965,-0.10738173127174377,1705581251482443233,0.00346656353212893,-0.0047784666530787945,-0.004115489311516285,0.0,1705581251483383753,1.1455477476119995,0.3406219482421875,0.0,0.0,1705581251476844658,0.0,0.0,0.0,0.0
1705581251488928589,0.0056531960144639015,-0.010031761601567268,0.0161758903414011,1705581251490847162,0.9999398589134216,-0.0016589505830779672,0.0005192109383642673,-0.010734395124018192,1705581251493598382,0.004496911074966192,0.006915942765772343,-0.002022514119744301,1705581251488011926,0.011159504763782024,-0.34334316849708557,0.14999961853027344,1705581251491692232,-0.00026012546732090414,0.00211612181738019,0.0024136037100106478,0.0,1705581251492626023,1.145523190498352,0.3450627028942108,0.0,0.0,1705581251486903044,0.0,0.0,0.0,0.0
