pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust,motor.time,motor.m1,motor.m2,motor.m3,motor.m4,rpy.r,rpy.p,rpy.y
1703764788932648044,0.5808442234992981,-0.005813734605908394,0.018020641058683395,1703764788933549995,0.999962568283081,0.007481781765818596,0.003892097622156143,-0.001325533608905971,1703764788927647412,-0.015278968028724194,0.01673971489071846,0.001066112658008933,1703764788931084410,-0.2147839516401291,0.21471446752548218,-0.17837202548980713,1703764788934604234,-0.0029731085523962975,-0.0013779783621430397,-0.0024420227855443954,0.0,1703764788926794755,-5.145853519439697,2.6854374408721924,0.03842345252633095,0.0,1703764788930300606,0.0,0.0,0.0,0.0,0.8557246923446655,-0.44631704688072205,-0.14834508299827576
1703764788943369863,0.580863893032074,-0.005821064580231905,0.018044739961624146,1703764788944261932,0.9999626278877258,0.007465942297130823,0.003895678324624896,-0.0013346450868993998,1703764788937011718,-0.015291640534996986,0.01666802167892456,0.0013406012440100312,1703764788941806387,-0.027955226600170135,-0.060099292546510696,-0.002449869643896818,1703764788945054593,-0.0008870108285918832,0.000625093758571893,-0.0003674380131997168,0.0,1703764788936233918,-5.134924411773682,2.687934637069702,0.1897195279598236,0.0,1703764788941013384,0.0,0.0,0.0,0.0,0.8567854166030884,-0.44712579250335693,-0.1485573649406433
1703764788952823984,0.5809100270271301,-0.005856232717633247,0.01813221536576748,1703764788953583236,0.9999622702598572,0.007497207261621952,0.003934966400265694,-0.0013363483594730496,1703764788947428681,-0.014927341602742672,0.01647115685045719,0.0018642247887328267,1703764788951338199,-0.03364614397287369,-0.07054212689399719,-0.24530726671218872,1703764788954385895,-0.0022079749032855034,0.0024637526366859674,-0.0012688888236880302,0.0,1703764788946640318,-5.156404495239258,2.715010166168213,0.026690896600484848,0.0,1703764788950551540,0.0,0.0,0.0,0.0,0.8549657464027405,-0.44754156470298767,-0.14960552752017975
1703764788962812331,0.5808960199356079,-0.005842339713126421,0.018100062385201454,1703764788963598743,0.999962329864502,0.007489575073122978,0.003927689045667648,-0.0013403530465438962,1703764788956910127,-0.014811938628554344,0.016533613204956055,0.0017964171711355448,1703764788962004849,0.10897482186555862,-0.1384028196334839,0.004947847221046686,1703764788965257187,0.0006898813298903406,-0.00047707007615827024,0.0003479016595520079,0.0,1703764788956123498,-5.156404495239258,2.715010166168213,0.0,0.0,1703764788960516427,0.0,0.0,0.0,0.0,0.8585422039031982,-0.4520496428012848,-0.14975298941135406
1703764788973823572,0.5808499455451965,-0.005832219496369362,0.018039964139461517,1703764788974605026,0.9999624490737915,0.0074813030660152435,0.003911066334694624,-0.0013341279700398445,1703764788967801851,-0.015032448805868626,0.01654532551765442,0.0014892145991325378,1703764788972355742,-0.007122302893549204,0.04773074388504028,-0.24398045241832733,1703764788975432454,-0.0020701901521533728,0.002397173782810569,-0.0036078537814319134,0.0,1703764788966947813,-5.15114688873291,2.710015296936035,0.0,0.0,1703764788970155756,0.0,0.0,0.0,0.0,0.8576667904853821,-0.45121800899505615,-0.1502215713262558
1703764788982522337,0.5808248519897461,-0.00582474609836936,0.018012722954154015,1703764788984079577,0.9999625086784363,0.0074766650795936584,0.003909101709723473,-0.0013367978390306234,1703764788977833818,-0.015341945923864841,0.016694210469722748,0.0011962163262069225,1703764788981674145,0.04009044170379639,0.10106420516967773,0.010400194674730301,1703764788984934694,4.303585228626616e-05,-0.0009251654264517128,0.0011772540165111423,0.0,1703764788977043319,-5.145484924316406,2.698535680770874,0.0,0.0,1703764788980810593,0.0,0.0,0.0,0.0,0.8567240834236145,-0.4493066668510437,-0.1495262086391449
1703764788992671241,0.5808473229408264,-0.005829360336065292,0.018041647970676422,1703764788993502151,0.9999625086784363,0.007475436665117741,0.003907744772732258,-0.0013349161017686129,1703764788987486194,-0.015348152257502079,0.016695907339453697,0.0013268647016957402,1703764788991135997,-0.13939456641674042,0.3706178367137909,-0.028401536867022514,1703764788994381900,-0.00014562948490493,-0.005532802548259497,0.0015063788741827011,0.0,1703764788986651738,-5.142286777496338,2.6971936225891113,0.0,0.0,1703764788990306476,0.0,0.0,0.0,0.0,0.8561916351318359,-0.449083149433136,-0.14983589947223663
1703764789002593003,0.580822765827179,-0.005826073233038187,0.01801426336169243,1703764789003545335,0.999962568283081,0.0074639213271439075,0.003923053853213787,-0.0013346164487302303,1703764788997682487,-0.015496557578444481,0.01652216538786888,0.0013274425873532891,1703764789000382445,0.2705349028110504,0.09238100051879883,-0.026108086109161377,1703764789004350901,0.00297326548025012,-0.0018618948524817824,2.9020091460552067e-05,0.0,1703764788996830207,-5.141448020935059,2.696248769760132,0.0,0.0,1703764788999465125,0.0,0.0,0.0,0.0,0.8560519218444824,-0.44892585277557373,-0.14962197840213776
1703764789011879104,0.5808112025260925,-0.00582505390048027,0.018000181764364243,1703764789013470692,0.9999624490737915,0.007474984508007765,0.003930248785763979,-0.0013368787476792932,1703764789007506032,-0.015504620969295502,0.016425294801592827,0.0011837953934445977,1703764789011119710,0.11989877372980118,-0.04150824621319771,-0.17527686059474945,1703764789014359116,0.003114063525572419,-0.0030250875279307365,-0.0032527067232877016,0.0,1703764789006696372,-5.133509635925293,2.706773281097412,0.0,0.0,1703764789010069358,0.0,0.0,0.0,0.0,0.8547301888465881,-0.45067816972732544,-0.1495797485113144
1703764789022381796,0.5808899402618408,-0.005918715614825487,0.01798969879746437,1703764789023160221,0.9999618530273438,0.00752465333789587,0.003990773111581802,-0.0013409022940322757,1703764789017455115,-0.01499517448246479,0.015620634891092777,0.0010397969745099545,1703764789021504025,0.01303351204842329,-0.28880545496940613,-0.0025449078530073166,1703764789024662489,0.003289982210844755,0.0006450532819144428,0.00025806587655097246,0.0,1703764789016632912,-5.141111373901367,2.7117464542388916,0.0,0.0,1703764789020707586,0.0,0.0,0.0,0.0,0.8559958934783936,-0.45150622725486755,-0.14982785284519196
