pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust,motor.time,motor.m1,motor.m2,motor.m3,motor.m4,motor_req.time,motor_req.m1,motor_req.m2,motor_req.m3,motor_req.m4
1706605730903385953,0.020291028544306755,0.002355467062443495,0.019971424713730812,1706605730904251101,0.9996646642684937,-0.0017550960183143616,-0.00037347356555983424,-0.025793666020035744,1706605730902294464,-0.0031823350582271814,-0.008717529475688934,0.0003787135938182473,1706605730909815741,0.20527435839176178,-0.11099012196063995,-0.1550941914319992,1706605730906718387,0.0029842995572835207,0.0017723507480695844,-0.002296036807820201,0.0,1706605730908823140,1.1956764459609985,-0.292762815952301,0.0,0.0,1706605730905250553,0.0,0.0,0.0,0.0,1706605730907926735,0.0,0.0,0.0,0.0
1706605730911580047,0.02029486745595932,0.0023561229463666677,0.019967615604400635,1706605730912574273,0.9996657967567444,-0.0017476786160841584,-0.0003805031883530319,-0.025751203298568726,1706605730910682635,-0.003002181416377425,-0.008848208002746105,0.0003168037801515311,1706605730919252346,0.2313869297504425,-0.09862704575061798,-0.033805541694164276,1706605730916211943,0.000706931110471487,0.002141823759302497,-0.00044091453310102224,0.0,1706605730918415008,1.19479501247406,-0.292698472738266,0.0,0.0,1706605730915425966,0.0,0.0,0.0,0.0,1706605730917233009,0.0,0.0,0.0,0.0
1706605730921908609,0.020295944064855576,0.002353386487811804,0.019963504746556282,1706605730922795878,0.9996649622917175,-0.0017464079428464174,-0.0003803874715231359,-0.025782806798815727,1706605730920954882,-0.002918201731517911,-0.008946518413722515,0.00020287561346776783,1706605730930714469,-0.021000273525714874,-0.004464094061404467,0.18706943094730377,1706605730925517157,0.0006615695892833173,0.0007834925781935453,0.0029697015415877104,0.0,1706605730929766604,1.1835623979568481,-0.29098695516586304,-0.432880163192749,0.0,1706605730924742908,0.0,0.0,0.0,0.0,1706605730928472978,0.0,0.0,0.0,0.0
1706605730932819142,0.020312830805778503,0.0023955651558935642,0.019965216517448425,1706605730933627816,0.9996655583381653,-0.0017300205072388053,-0.0003783583815675229,-0.025761932134628296,1706605730931924607,-0.002740447875112295,-0.00868002325296402,0.00012254314788151532,1706605730940081203,0.11671775579452515,-0.24536871910095215,0.15602846443653107,1706605730936348482,0.004818962886929512,0.004479597322642803,0.003178974613547325,0.0,1706605730938951752,1.19532310962677,-0.28900787234306335,0.44617167115211487,0.0,1706605730935402208,0.0,0.0,0.0,0.0,1706605730937778227,0.0,0.0,0.0,0.0
1706605730942153090,0.020318876951932907,0.002410650020465255,0.01996694877743721,1706605730943652171,0.9996649622917175,-0.001747037167660892,-0.0003750059404410422,-0.025783440098166466,1706605730941209993,-0.0026871885638684034,-0.008498645387589931,4.250322308507748e-05,1706605730950331162,-0.06944489479064941,-0.22165344655513763,-0.10647176951169968,1706605730945744924,-0.0007912892033345997,0.0016953889280557632,0.0016667807940393686,0.0,1706605730948937337,1.188139796257019,-0.29924091696739197,-0.8353797793388367,0.0,1706605730944460641,0.0,0.0,0.0,0.0,1706605730946368336,0.0,0.0,0.0,0.0
1706605730952566488,0.020320219919085503,0.0024248454719781876,0.01996438205242157,1706605730953279308,0.9996660351753235,-0.0017369708511978388,-0.0003902085591107607,-0.02574319578707218,1706605730951703335,-0.002782088005915284,-0.008559967391192913,3.9813690818846226e-05,1706605730958928507,0.01232035830616951,-0.0641762837767601,0.1852712482213974,1706605730956068459,-6.958484300412238e-05,0.0030818853992968798,0.002962002996355295,0.0,1706605730957987839,1.1883810758590698,-0.3098619282245636,0.0,0.0,1706605730955140863,0.0,0.0,0.0,0.0,1706605730956840919,0.0,0.0,0.0,0.0
1706605730960900439,0.02032559923827648,0.0024355158675462008,0.01996280811727047,1706605730961852644,0.999665379524231,-0.0017517674714326859,-0.00040102540515363216,-0.025766925886273384,1706605730960211462,-0.0025942972861230373,-0.008579405955970287,0.00015085692575667053,1706605730971241446,-0.2444695234298706,0.03736318647861481,-0.10985405743122101,1706605730967764328,-0.0039237746968865395,-0.0021144093479961157,-0.001641624141484499,0.0,1706605730970185447,1.1960934400558472,-0.31458547711372375,0.0,0.0,1706605730964943635,0.0,0.0,0.0,0.0,1706605730969137983,0.0,0.0,0.0,0.0
1706605730973284555,0.020328298211097717,0.0024344995617866516,0.019961826503276825,1706605730974331971,0.9996663331985474,-0.0017490917816758156,-0.0004122231912333518,-0.02572951279580593,1706605730972276797,-0.002482834504917264,-0.008501073345541954,0.00029152596835047007,1706605730979642452,0.006541899871081114,0.010385158471763134,0.10115792602300644,1706605730976508340,-0.0004355718847364187,0.0036141735035926104,0.002480259630829096,0.0,1706605730978491898,1.1959913969039917,-0.31455981731414795,0.0,0.0,1706605730975341113,0.0,0.0,0.0,0.0,1706605730977587757,0.0,0.0,0.0,0.0
1706605730981643937,0.020329119637608528,0.0024401096161454916,0.019967099651694298,1706605730982862169,0.9996669292449951,-0.0017489328747615218,-0.0004122316022403538,-0.025705605745315552,1706605730980723717,-0.002435768023133278,-0.00852207001298666,0.0003543655329849571,1706605730992323962,0.0753464549779892,0.23156538605690002,0.11766720563173294,1706605730987894886,0.0026295019779354334,8.523846190655604e-06,7.248456677189097e-05,0.0,1706605730991257241,1.1923271417617798,-0.3149082660675049,0.0,0.0,1706605730986172687,0.0,0.0,0.0,0.0,1706605730988799439,0.0,0.0,0.0,0.0
1706605730994147932,0.020331531763076782,0.002436505164951086,0.01996641606092453,1706605730995798300,0.9996664524078369,-0.0017542283749207854,-0.0004091405135113746,-0.025724448263645172,1706605730993351396,-0.0024426572490483522,-0.008595605380833149,0.0005951248458586633,1706605731001751714,0.1594124287366867,0.039202578365802765,0.08098385483026505,1706605730997692695,0.003497984493151307,0.0019588209688663483,-0.00035496774944476783,0.0,1706605730999825990,1.1930160522460938,-0.31252819299697876,0.0,0.0,1706605730996762826,0.0,0.0,0.0,0.0,1706605730998425261,0.0,0.0,0.0,0.0
