pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust,motor.time,motor.m1,motor.m2,motor.m3,motor.m4,motor_req.time,motor_req.m1,motor_req.m2,motor_req.m3,motor_req.m4
1706605169242281744,0.02396603673696518,-0.0009748322190716863,0.019936008378863335,1706605169250371686,0.9991359710693359,-0.0017657395219430327,0.00046692616888321936,-0.04149704426527023,1706605169245510553,-0.002666831249371171,-0.005400132853537798,-0.0004807912919204682,1706605169248468061,0.039784569293260574,-0.12380509823560715,-0.026769528165459633,1706605169243994830,0.00185609539039433,-0.00276747508905828,-0.0015124520286917686,0.0,1706605169244737134,1.2336299419403076,0.27159884572029114,0.0,0.0,1706605169246470557,0.0,0.0,0.0,0.0,1706605169247332568,0.0,0.0,0.0,0.0
1706605169249409785,0.02395772561430931,-0.0009654376772232354,0.019942261278629303,1706605169257633337,0.9991346597671509,-0.0017646258929744363,0.0004587574803736061,-0.04152729734778404,1706605169252776794,-0.0025612316094338894,-0.005442937836050987,-0.0007777829887345433,1706605169255659600,0.06320270895957947,-0.17106159031391144,0.06731440126895905,1706605169251170021,-0.001586626167409122,0.001208175322972238,-0.0016779633006080985,0.0,1706605169251931565,1.227537751197815,0.2706489861011505,0.0,0.0,1706605169253664806,0.0,0.0,0.0,0.0,1706605169254727855,0.0,0.0,0.0,0.0
1706605169256699499,0.023989908397197723,-0.0009824131848290563,0.019912252202630043,1706605169265362719,0.9991336464881897,-0.0017624935135245323,0.0004546473210211843,-0.04155303165316582,1706605169260594889,-0.0024838619865477085,-0.00545860081911087,-0.0010512667940929532,1706605169263711914,0.09852536022663116,0.27962446212768555,0.25102418661117554,1706605169258628149,0.0003672074235510081,0.0026299457531422377,-0.0019398615695536137,0.0,1706605169259651210,1.2265467643737793,0.2650265097618103,0.0,0.0,1706605169261519797,0.0,0.0,0.0,0.0,1706605169262477455,0.0,0.0,0.0,0.0
1706605169264386698,0.023945078253746033,-0.001030784915201366,0.01992012746632099,1706605169274764144,0.9991326928138733,-0.0017569793853908777,0.0004535267944447696,-0.04157667234539986,1706605169268464675,-0.0025389203801751137,-0.005360321141779423,-0.0009543733322061598,1706605169272825121,0.08779408037662506,-0.024070769548416138,0.10557229816913605,1706605169266738583,-0.0013621443649753928,-0.0035807136446237564,0.00020071858307346702,0.0,1706605169267464780,1.224969744682312,0.2622296214103699,0.0,0.0,1706605169270512855,0.0,0.0,0.0,0.0,1706605169271916199,0.0,0.0,0.0,0.0
1706605169273767905,0.023957181721925735,-0.0009720593225210905,0.01994074136018753,1706605169283937078,0.999131441116333,-0.0017555755330249667,0.0004663206927943975,-0.04160648584365845,1706605169277719114,-0.002635279204696417,-0.005293348338454962,-0.0009656156180426478,1706605169282082275,0.17394216358661652,-0.20757879316806793,-0.0003967612574342638,1706605169275484707,-0.001172614865936339,-0.00550605496391654,-0.0009564587962813675,0.0,1706605169276690374,1.2211520671844482,0.261587917804718,0.0,0.0,1706605169279808166,0.0,0.0,0.0,0.0,1706605169281058668,0.0,0.0,0.0,0.0
1706605169283192231,0.02396535314619541,-0.0010367428185418248,0.019896088168025017,1706605169293193335,0.9991331696510315,-0.0017497226363047957,0.0004542587557807565,-0.04156547412276268,1706605169286757392,-0.002752984408289194,-0.005336550530046225,-0.0012622792273759842,1706605169290631481,0.14173008501529694,-0.18359482288360596,0.07787559181451797,1706605169284871166,0.0017606073524802923,0.0025707476306706667,-0.0007619326352141798,0.0,1706605169285890450,1.2205610275268555,0.27038925886154175,0.0,0.0,1706605169287734328,0.0,0.0,0.0,0.0,1706605169288690221,0.0,0.0,0.0,0.0
1706605169291951471,0.02396535314619541,-0.0010367428185418248,0.019896088168025017,1706605169328231229,0.9991292357444763,-0.00176149420440197,0.0004494940221775323,-0.041659142822027206,1706605169296618039,-0.0028288427274674177,-0.005468032322824001,-0.0012540561147034168,1706605169303116931,-0.1031506210565567,0.15360857546329498,0.006863032002002001,1706605169293946081,0.002186801750212908,0.0010924048256129026,-0.0006119382451288402,0.0,1706605169295643753,1.2161800861358643,0.26231250166893005,0.0,0.0,1706605169297731143,0.0,0.0,0.0,0.0,1706605169298823444,0.0,0.0,0.0,0.0
1706605169325652364,0.02396080456674099,-0.000987898907624185,0.019915131852030754,1706605169383404975,0.9991282224655151,-0.0017574767116457224,0.00045337737537920475,-0.0416838675737381,1706605169370860803,-0.0027108932845294476,-0.004977060481905937,-0.0010541779920458794,1706605169380609069,0.1239304468035698,-0.06733037531375885,-0.07013789564371109,1706605169329587564,-0.0015112458495423198,-0.003899622242897749,0.0022726249881088734,0.0,1706605169330921796,1.2241624593734741,0.25858455896377563,0.0,0.0,1706605169375865046,0.0,0.0,0.0,0.0,1706605169377953864,0.0,0.0,0.0,0.0
1706605169381730478,0.02394586242735386,-0.001010721200145781,0.01990504376590252,1706605169395669300,0.9991275072097778,-0.0017567506292834878,0.0004582447581924498,-0.041700370609760284,1706605169388601965,-0.002861872548237443,-0.004953040275722742,-0.0009946329519152641,1706605169392823656,-0.12690545618534088,0.1215674951672554,0.17742782831192017,1706605169385396566,0.0021629943512380123,0.0011751367710530758,-0.001224137144163251,0.0,1706605169386873915,1.22151780128479,0.26133987307548523,0.0,0.0,1706605169389707296,0.0,0.0,0.0,0.0,1706605169391545850,0.0,0.0,0.0,0.0
1706605169394038840,0.0239684097468853,-0.0010301006259396672,0.019882913678884506,1706605169409142329,0.9991260170936584,-0.00176762614864856,0.00044831339619122446,-0.04173606261610985,1706605169399374513,-0.0028668411541730165,-0.005092723295092583,-0.0011982847936451435,1706605169406976696,-0.018118729814887047,-0.20346283912658691,-0.07417599856853485,1706605169397009696,0.00017726403893902898,0.0043026539497077465,-0.0024126903153955936,0.0,1706605169398153980,1.2211626768112183,0.26468750834465027,0.0,0.0,1706605169400471396,0.0,0.0,0.0,0.0,1706605169401523864,0.0,0.0,0.0,0.0
