pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,cmd.time,cmd.thrust,cmd.r_rate,cmd.p_rate,cmd.y_rate
1701089052965534141,-0.007782422937452793,0.004992562346160412,0.02094585821032524,1701089052967908706,0.9999344944953918,0.00029839572380296886,-0.0022315094247460365,-0.011129227466881275,1701089052963610450,0.01749483495950699,0.007790146395564079,0.0008219227311201394,1701089052960992846,0.0036851929035037756,-0.002225959673523903,-0.003947097808122635,1701089052962834251,0.0,-0.2147252857685089,-1.5356301069259644,0.0
1701089052975344854,-0.007786695845425129,0.004993319511413574,0.020945630967617035,1701089052979122681,0.9999346137046814,0.0002958227414637804,-0.002230997197329998,-0.011121835559606552,1701089052973510963,0.017419427633285522,0.007716300431638956,0.0007996515487320721,1701089052969005677,-0.0014799153432250023,-0.0008316815947182477,-0.003169977106153965,1701089052972642656,0.0,-0.22244848310947418,-1.53342604637146,0.0
1701089052984851289,-0.007788964547216892,0.004993744660168886,0.020946398377418518,1701089052988115753,0.9999347925186157,0.0002939260739367455,-0.0022243820130825043,-0.01110710110515356,1701089052982467464,0.017258012667298317,0.007668870966881514,0.0009139854810200632,1701089052980059695,-0.0009593036957085133,-0.0015253707533702254,-0.0007054067100398242,1701089052981625987,0.0,-0.22066253423690796,-1.5330947637557983,0.0
1701089052995562602,-0.007884001359343529,0.004950095433741808,0.020944833755493164,1701089052997939778,0.9999340772628784,0.0003184423258062452,-0.0022974491585046053,-0.01115292776376009,1701089052993117993,0.0170255359262228,0.0076060788705945015,0.0010214251233264804,1701089052989120036,-0.002236095955595374,-0.0009164898074232042,-0.0019724059384316206,1701089052992217022,0.0,-0.2192840576171875,-1.528559923171997,0.0
1701089053005214780,-0.007928193546831608,0.004934133496135473,0.020939838141202927,1701089053008356529,0.9999336004257202,0.00034358215634711087,-0.0023489908780902624,-0.01118627842515707,1701089053002757929,0.016195710748434067,0.007265341933816671,0.000881779647897929,1701089052998724105,0.00212851376272738,0.002383472165092826,9.100916213355958e-05,1701089053001945807,0.0,-0.23678721487522125,-1.578646183013916,0.0
1701089053015687138,-0.007948840968310833,0.004925170913338661,0.020938033238053322,1701089053018194251,0.9999337196350098,0.0003473101824056357,-0.00235923333093524,-0.01117532979696989,1701089053013698237,0.015915384516119957,0.007349138148128986,0.0006381154526025057,1701089053009295447,0.002574593760073185,0.002154894405975938,-0.0025870511308312416,1701089053012901812,0.0,-0.254537969827652,-1.6139155626296997,0.0
1701089053025328575,-0.007788446731865406,0.005001971963793039,0.020943885669112206,1701089053028423583,0.9999337792396545,0.00033692768192850053,-0.0023573748767375946,-0.011169794015586376,1701089053022730297,0.01579657383263111,0.007518027443438768,0.00060818757629022,1701089053018993770,-0.002927473047748208,0.0008733122958801687,-0.0008019845699891448,1701089053021738936,0.0,-0.25716471672058105,-1.6209383010864258,0.0
1701089053035841520,-0.007798757869750261,0.004999545868486166,0.020944667980074883,1701089053038267498,0.9999338388442993,0.0003459368017502129,-0.0023437628988176584,-0.011169984936714172,1701089053032624948,0.015654707327485085,0.007555603515356779,0.0005407158168964088,1701089053030013548,0.0033893357031047344,-0.002152798231691122,-0.0018388470634818077,1701089053031833997,0.0,-0.24999624490737915,-1.6197407245635986,0.0
1701089053048898481,-0.00780480494722724,0.004995796829462051,0.020942168310284615,1701089053050364994,0.9999340176582336,0.00034854630939662457,-0.002333543263375759,-0.011156033724546432,1701089053045688067,0.015408948063850403,0.007476465310901403,0.0005534695228561759,1701089053039128036,0.0002344420354347676,-0.0011141244322061539,0.0006970780086703598,1701089053040868552,0.0,-0.2560919523239136,-1.6103037595748901,0.0
1701089053057297071,-0.007811858784407377,0.004994750022888184,0.020943351089954376,1701089053058193063,0.9999340176582336,0.00035136379301548004,-0.0023139766417443752,-0.011158852837979794,1701089053055560182,0.015460096299648285,0.007563040126115084,0.000849428353831172,1701089053051397800,-5.551778667722829e-05,-0.003437142353504896,-0.0027363523840904236,1701089053054580551,0.0,-0.2577868402004242,-1.6032541990280151,0.0
1701089053066386018,-0.007810194976627827,0.0049939239397645,0.02094564586877823,1701089053067996888,0.999934196472168,0.00033241717028431594,-0.0023009353317320347,-0.011142869479954243,1701089053061731116,0.01555616781115532,0.007503819651901722,0.0009377534734085202,1701089053059073492,-0.005942218936979771,-0.0026226157788187265,0.0011411113664507866,1701089053060810672,0.0,-0.2595800459384918,-1.589766025543213,0.0
1701089053076393382,-0.007809340953826904,0.004997343756258488,0.020948555320501328,1701089053077971287,0.9999342560768127,0.00033538087154738605,-0.002298445673659444,-0.011137261055409908,1701089053071634591,0.015576615929603577,0.007607227191329002,0.0009817751124501228,1701089053068887691,0.0007493099546991289,0.0037831703666597605,-0.002717273775488138,1701089053070704073,0.0,-0.24641552567481995,-1.580940842628479,0.0
1701089053086802519,-0.007808033376932144,0.0049949889071285725,0.020950045436620712,1701089053087619610,0.9999344348907471,0.0003312249609734863,-0.002282083034515381,-0.011129418388009071,1701089053082774435,0.015645707026124,0.007490437012165785,0.0011537291575223207,1701089053078828561,0.0009515794808976352,-0.0032959654927253723,-0.0011524397414177656,1701089053080476555,0.0,-0.24842721223831177,-1.5792059898376465,0.0
