pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,cmd.time,cmd.thrust,cmd.r_rate,cmd.p_rate,cmd.y_rate
1701086671443264693,0.01958274096250534,0.002974554430693388,0.021007589995861053,1701086671432152208,0.9977286458015442,0.0022511628922075033,-0.004474545828998089,-0.06715976446866989,1701086671440804592,0.007223399821668863,-0.0031491825357079506,0.0018387759337201715,1701086671433106509,0.001179618644528091,0.005270855966955423,0.0025888297241181135,1701086671439691701,0.0,-1.7460153102874756,-2.961204767227173,0.0
1701086671450270717,0.01958322711288929,0.0029733949340879917,0.021007008850574493,1701086671444276203,0.997728705406189,0.002242168178781867,-0.0044632647186517715,-0.06716037541627884,1701086671447853011,0.007159534376114607,-0.002905947854742408,0.0019128061830997467,1701086671445260792,0.0019326076144352555,-0.0013308983761817217,0.0007215127698145807,1701086671447024133,0.0,-1.7507903575897217,-2.9601409435272217,0.0
1701086671464654983,0.01957842707633972,0.002975213574245572,0.0210049357265234,1701086671451950182,0.9977289438247681,0.002243216848000884,-0.004460416734218597,-0.06715704500675201,1701086671457162350,0.007306184619665146,-0.002801025751978159,0.0020077917724847794,1701086671453614784,-0.002026416128501296,0.0007290358189493418,0.000497583532705903,1701086671456374939,0.0,-1.7539231777191162,-2.9632151126861572,0.0
1701086671472951984,0.01965313032269478,0.0029472648166120052,0.021024873480200768,1701086671466895415,0.9977292418479919,0.002247863681986928,-0.004466399550437927,-0.06715188920497894,1701086671471021969,0.007634908426553011,-0.0027876924723386765,0.0019802735187113285,1701086671467838323,0.002175720175728202,-0.0012672210577875376,-0.0012814191868528724,1701086671469947014,0.0,-1.7513564825057983,-2.958385467529297,0.0
1701086671479134175,0.019576897844672203,0.002980227814987302,0.021007176488637924,1701086671473900804,0.9977297186851501,0.002244650386273861,-0.004458553157746792,-0.06714484095573425,1701086671477329050,0.0074553582817316055,-0.002601634245365858,0.0020025158300995827,1701086671474753452,0.0014387343544512987,0.0008338430197909474,0.0031153589952737093,1701086671476402004,0.0,-1.7506381273269653,-2.9633278846740723,0.0
1701086671493539708,0.01954251155257225,0.0029940030071884394,0.0209942813962698,1701086671481278026,0.9977296590805054,0.002243506023660302,-0.004465155303478241,-0.06714636832475662,1701086671490520695,0.007490408606827259,-0.002613755175843835,0.002033391036093235,1701086671482329900,0.0006037502316758037,-0.000749834580346942,0.002674967050552368,1701086671489142145,0.0,-1.750795602798462,-2.9588422775268555,0.0
1701086671501024163,0.01956070214509964,0.0029886492993682623,0.021000908687710762,1701086671495840935,0.9977253079414368,0.002242512069642544,-0.004446147941052914,-0.06721150130033493,1701086671499113653,0.00770295225083828,-0.0028551749419420958,0.0018899351125583053,1701086671496657189,0.0022198562510311604,0.0007255026139318943,0.002496558940038085,1701086671498290970,0.0,-1.7482783794403076,-2.9496560096740723,0.0
1701086671509743140,0.019569477066397667,0.002983590355142951,0.021002981811761856,1701086671502153795,0.9977259635925293,0.002243368187919259,-0.004439366515725851,-0.06720251590013504,1701086671507314790,0.007868126966059208,-0.002968142507597804,0.0018569588428363204,1701086671503118011,0.005738991312682629,0.00033760032965801656,0.002023446373641491,1701086671506387525,0.0,-1.744861364364624,-2.9476840496063232,0.0
1701086671519220102,0.019574662670493126,0.0029826033860445023,0.021002838388085365,1701086671511509890,0.997725784778595,0.0022374424152076244,-0.004439580254256725,-0.06720490008592606,1701086671516563998,0.00788081157952547,-0.0031331651844084263,0.0018493577372282743,1701086671512591862,0.003729413030669093,0.002948514185845852,0.001179272891022265,1701086671515758737,0.0,-1.7499295473098755,-2.9417052268981934,0.0
1701086671531203790,0.019575146958231926,0.0029847861733287573,0.021005598828196526,1701086671520174878,0.997726321220398,0.002244258299469948,-0.004433511756360531,-0.06719712913036346,1701086671529410921,0.007925070822238922,-0.003217067802324891,0.0017935974756255746,1701086671521711936,0.0005328237311914563,0.005719292443245649,-0.0015663969097658992,1701086671528643195,0.0,-1.7567191123962402,-2.946397066116333,0.0
1701086671542382903,0.019580626860260963,0.0029833477456122637,0.021003330126404762,1701086671532105979,0.9977262616157532,0.002253041137009859,-0.004442046862095594,-0.06719769537448883,1701086671540577302,0.008115313947200775,-0.0032310038805007935,0.0018578848103061318,1701086671536858630,0.005461278837174177,0.003469552379101515,0.001215628581121564,1701086671539866262,0.0,-1.7565162181854248,-2.945103406906128,0.0
1701086671549851745,0.01966165378689766,0.0029516248032450676,0.021021591499447823,1701086671543541608,0.9977267980575562,0.0022529144771397114,-0.004439847078174353,-0.06718910485506058,1701086671548106152,0.008264030329883099,-0.0032165676821023226,0.0018800079124048352,1701086671544506904,0.0012337940279394388,0.0021502627059817314,0.0015433499356731772,1701086671547185699,0.0,-1.7623275518417358,-2.961594820022583,0.0
1701086671559609757,0.01966429315507412,0.002949988469481468,0.021024782210588455,1701086671551425977,0.9977263808250427,0.00225993525236845,-0.004465152975171804,-0.0671941265463829,1701086671556977579,0.008295898325741291,-0.0032593626528978348,0.001804205123335123,1701086671552659411,0.0018188965041190386,-8.223039185395464e-05,0.004798725713044405,1701086671556103132,0.0,-1.7577852010726929,-2.963679313659668,0.0
1701086671569620720,0.01966332457959652,0.002947334898635745,0.0210268497467041,1701086671561242548,0.9977261424064636,0.002253734739497304,-0.004468766041100025,-0.06719707697629929,1701086671567132514,0.008343715220689774,-0.0033113937824964523,0.0018354366766288877,1701086671562226612,0.001122604007832706,0.0008139704004861414,0.0013006359804421663,1701086671566375412,0.0,-1.7564538717269897,-2.9635958671569824,0.0
1701086671579305677,0.01966431364417076,0.002948413835838437,0.021023781970143318,1701086671571222949,0.9977267384529114,0.0022506786044687033,-0.0044684200547635555,-0.0671885535120964,1701086671577486953,0.008341260254383087,-0.003201903309673071,0.001973282778635621,1701086671572020060,-0.0008813814492896199,0.001225787098519504,0.001527796732261777,1701086671576719263,0.0,-1.7543556690216064,-2.963960647583008,0.0
1701086671592941324,0.019665444269776344,0.0029464068356901407,0.021024219691753387,1701086671580316448,0.9977270364761353,0.002248340519145131,-0.004468581639230251,-0.06718391180038452,1701086671587522010,0.008222038857638836,-0.003250489942729473,0.0020517571829259396,1701086671581826793,6.503023178083822e-05,-0.0009211605065502226,-0.001485719345510006,1701086671586785199,0.0,-1.7553845643997192,-2.9589147567749023,0.0
1701086671604464702,0.019665060564875603,0.002946979831904173,0.021025635302066803,1701086671592931523,0.9977273941040039,0.002249855315312743,-0.004461632575839758,-0.06717905402183533,1701086671602658203,0.008095426484942436,-0.003388159442692995,0.001773652620613575,1701086671592921889,0.0035168961621820927,-0.0011984517332166433,-0.0022157924249768257,1701086671601925770,0.0,-1.7544314861297607,-2.963571548461914,0.0
1701086671611290745,0.019620979204773903,0.0029620726127177477,0.02101154252886772,1701086671605517117,0.9977323412895203,0.0022543850354850292,-0.00446739187464118,-0.06710498034954071,1701086671609599806,0.007689960300922394,-0.003404146060347557,0.0014622457092627883,1701086671606331332,0.0008402664097957313,0.0022953390143811703,0.002815138315781951,1701086671608778655,0.0,-1.7568362951278687,-2.9675145149230957,1.453262209892273
1701086671619372894,0.019644374027848244,0.0029502827674150467,0.02101096697151661,1701086671612058171,0.9977322220802307,0.0022574816830456257,-0.0044733453541994095,-0.06710610538721085,1701086671616008200,0.0076792361214756966,-0.0036698447074741125,0.0014477248769253492,1701086671613012708,0.004889605566859245,0.0019235220970585942,-0.0016453084535896778,1701086671614967669,0.0,-1.76515531539917,-2.9615066051483154,0.0
